# h,k,F.real,F.imag
-10, 2, 1.209027e+01, 4.070340e-15
-10, 3, -7.166403e-15, -1.776357e-15
-10, 4, -5.779163e-01, 5.409238e-15
-10, 5, 8.958161e-16, 3.441691e-15
-10, 6, 9.150208e+00, 6.139569e-15
-10, 7, 1.051063e-15, 1.887379e-15
-10, 8, 4.474271e+00, -6.865571e-15
-10, 9, -3.301368e-15, 5.107026e-15
-10, 10, 7.798968e+00, 0.000000e+00
-10, 11, -8.591903e-15, 5.884182e-15
-10, 12, 5.448723e-02, -2.061728e-15
-10, 13, -9.692610e-16, 0.000000e+00
-10, 14, 4.657916e+00, 1.733416e-15
-9, -14, 3.467167e-15, -1.554312e-15
-9, -13, -1.110223e-15, 5.384582e-15
-9, -12, -1.620094e-16, -1.776357e-15
-9, -11, 7.771561e-16, 2.341001e-15
-9, -10, -2.688708e-15, -1.421085e-14
-9, -9, -1.443290e-15, -1.898301e-16
-9, -8, -1.069767e-14, -1.865175e-14
-9, -7, 8.215650e-15, 3.552714e-15
-9, -6, -2.735614e-15, 1.776357e-15
-9, -5, -7.549517e-15, 5.843578e-15
-9, -4, 8.411254e-15, 1.332268e-14
-9, -3, -7.771561e-15, -5.560243e-15
-9, -2, -1.799002e-14, -9.325873e-15
-9, -1, 6.883383e-15, -4.955131e-15
-9, 0, -1.436363e-14, -3.241851e-14
-9, 1, 5.107026e-15, 6.093110e-15
-9, 2, -2.398645e-15, -8.437695e-15
-9, 3, -4.662937e-15, -5.662137e-15
-9, 4, 3.776287e-15, 1.332268e-14
-9, 5, 2.220446e-15, -6.246034e-15
-9, 6, 4.381374e-15, 4.440892e-16
-9, 7, -8.881784e-16, -2.553513e-15
-9, 8, -1.268366e-14, -1.398881e-14
-9, 9, -1.554312e-15, 0.000000e+00
-9, 10, -3.079323e-15, -5.107026e-15
-9, 11, -1.887379e-15, 5.717649e-15
-9, 12, 5.014158e-16, 8.881784e-16
-9, 13, -3.663736e-15, -1.983651e-15
-9, 14, 3.655613e-15, -2.220446e-16
-8, -14, -5.773282e-01, 5.190395e-15
-8, -13, 1.073355e-14, -4.107825e-15
-8, -12, 1.277911e+00, 2.965379e-14
-8, -11, -1.208847e-14, -4.218847e-15
-8, -10, 4.474271e+00, -1.009175e-14
-8, -9, -1.069767e-14, -1.865175e-14
-8, -8, 1.922570e+01, 1.898099e-14
-8, -7, 1.283925e-14, -1.310063e-14
-8, -6, 7.273681e-01, 6.357597e-15
-8, -5, -1.021301e-14, 2.287059e-14
-8, -4, 7.726254e-01, 3.348194e-14
-8, -3, -1.720777e-14, -6.883383e-15
-8, -2, 4.555548e+00, -6.585738e-15
-8, -1, -1.382729e-14, -3.774758e-15
-8, 0, 3.303750e+01, 1.298802e-14
-8, 1, -8.388605e-15, -4.440892e-15
-8, 2, 4.555548e+00, -5.869224e-15
-8, 3, -1.518968e-14, -6.217249e-15
