# h,k,F.real,F.imag
-14, -14, 6.018610e+00, 4.138356e-14
-14, -13, -2.491063e-15, 4.587997e-14
-14, -12, 7.402071e+00, -3.603368e-14
-14, -11, -4.481485e-14, 1.401657e-15
-14, -10, -2.219998e+01, -4.150673e-14
-14, -9, -1.913443e-14, 4.626854e-14
-14, -8, -2.348668e+01, -6.993711e-14
-14, -7, -1.002462e-13, -8.951173e-15
-14, -6, 5.380928e+00, 8.364837e-14
-14, -5, -3.690104e-14, -1.487699e-14
-14, -4, -1.255008e+01, -6.496192e-14
-14, -3, 1.988687e-14, -1.902645e-14
-14, -2, 7.214892e+00, 2.658984e-14
-14, -1, 6.518397e-14, 1.905767e-14
-14, 0, 4.731440e+01, 4.490852e-14
-14, 1, -2.779721e-14, 2.898723e-14
-14, 2, 7.214892e+00, 1.913747e-14
-14, 3, 2.318978e-14, -4.267420e-15
-14, 4, -1.255008e+01, -1.899869e-14
-14, 5, 1.164346e-14, -2.151057e-14
-14, 6, 5.380928e+00, -3.136380e-15
-14, 7, 2.335285e-14, -3.474998e-14
-14, 8, -2.348668e+01, -2.048708e-14
-14, 9, -1.314292e-14, -5.112577e-14
-14, 10, -2.219998e+01, 1.759183e-14
-14, 11, -2.293998e-14, 3.395895e-14
-14, 12, 7.402071e+00, 4.455464e-14
-14, 13, -1.337819e-14, -6.092349e-15
-14, 14, 6.018610e+00, -3.191891e-16
-13, -14, -3.590878e-15, 4.550527e-14
-13, -13, -1.521699e-14, -3.722717e-14
-13, -12, 9.843515e-14, 3.078787e-14
-13, -11, -4.524853e-14, 1.356207e-13
-13, -10, 5.594136e-14, 5.411643e-14
-13, -9, -1.101133e-13, -9.339751e-15
-13, -8, -3.477774e-14, -7.804521e-15
-13, -7, 7.982330e-15, -2.321754e-14
-13, -6, -6.315781e-14, 7.158510e-14
-13, -5, -1.173367e-14, -2.463307e-14
-13, -4, -4.116152e-14, -5.617729e-14
-13, -3, -4.643508e-14, 3.294587e-14
-13, -2, -5.727363e-14, -1.128403e-13
-13, -1, 1.924849e-14, 1.015160e-14
-13, 0, 2.416817e-14, -1.933176e-14
-13, 1, 3.472223e-14, 7.008630e-14
-13, 2, -7.156819e-14, -1.001421e-13
-13, 3, 5.381806e-14, 1.791275e-14
-13, 4, -8.636147e-14, 1.693090e-15
-13, 5, -2.428613e-15, -2.650657e-15
-13, 6, 7.072121e-14, 2.917111e-14
-13, 7, -3.644307e-14, 1.014466e-14
-13, 8, -1.360023e-14, -5.787038e-15
-13, 9, -1.730213e-14, -2.266243e-14
-13, 10, -8.465451e-15, 2.667658e-14
-13, 11, -3.802080e-15, -4.163336e-17
-13, 12, 2.124689e-14, -2.557156e-14
-13, 13, 1.353084e-16, -8.326673e-17
-13, 14, -1.334349e-14, 6.127043e-15
-12, -14, 7.402071e+00, -3.573530e-14
-12, -13, 9.980905e-14, 3.045481e-14
-12, -12, 1.360697e+00, 8.530676e-14
-12, -11, -2.196854e-14, -2.317591e-15
-12, -10, 2.379590e+01, 1.061234e-13
-12, -9, -5.416501e-14, 4.454770e-14
-12, -8, 3.856681e+00, -5.077883e-14
-12, -7, 2.613187e-14, -3.248790e-14
-12, -6, -1.771461e+01, -7.188694e-14
-12, -5, -1.760744e-15, -9.542367e-14
-12, -4, 4.434615e+01, 8.849518e-14
-12, -3, 9.769963e-15, 9.381385e-14
-12, -2, -5.392559e+00, -2.567391e-15
-12, -1, 2.715883e-14, -7.840950e-15
-12, 0, -1.223507e+01, -2.878253e-14
-12, 1, -3.810841e-14, -2.331468e-15
-12, 2, -5.392559e+00, 1.645906e-14
-12, 3, -4.246603e-15, -1.744438e-14
-12, 4, 4.434615e+01, 7.099876e-14
-12, 5, 8.049117e-15, 1.013425e-14
-12, 6, -1.771461e+01, -3.030909e-14
-12, 7, -2.343958e-14, 9.478529e-15
-12, 8, 3.856681e+00, -8.007484e-15
-12, 9, 1.530026e-14, 4.260481e-15
-12, 10, 2.379590e+01, 2.931683e-14
-12, 11, 4.038436e-15, 1.969258e-14
-12, 12, 1.360697e+00, 8.205242e-16
-12, 13, 1.701157e-14, 2.471634e-14
-12, 14, 7.402071e+00, -4.521036e-14
-11, -14, -4.333686e-14, 1.026956e-15
-11, -13, -4.483913e-14, 1.347551e-13
