# h,k,F.real,F.imag
-14, -14, 2.870405e+00, 4.926615e-15
-14, -13, 5.606626e-15, 1.755540e-15
-14, -12, -6.933572e-01, -9.936496e-15
-14, -11, -3.164136e-15, -5.412337e-15
-14, -10, 4.106213e+00, 8.604228e-15
-14, -9, 1.734723e-16, -1.623701e-15
-14, -8, -8.144628e-01, -1.032160e-15
-14, -7, 3.511080e-15, 1.526557e-16
-14, -6, 4.576099e+00, 1.056100e-14
-14, -5, 2.664535e-15, -9.103829e-15
-14, -4, -4.317904e-01, -9.284240e-15
-14, -3, -3.316791e-15, -1.387779e-15
-14, -2, 4.833204e+00, 1.088019e-14
-14, -1, -7.049916e-15, -7.896461e-15
-14, 0, -3.354201e-01, -7.362545e-16
-14, 1, -1.186551e-15, 5.134781e-16
-14, 2, 4.833204e+00, 4.773959e-15
-14, 3, -4.163336e-15, -3.969047e-15
-14, 4, -4.317904e-01, -7.965850e-15
-14, 5, -1.262879e-15, 2.498002e-16
-14, 6, 4.576099e+00, 1.568190e-15
-14, 7, -3.337608e-15, -7.771561e-16
-14, 8, -8.144628e-01, -1.604619e-16
-14, 9, -1.540434e-15, 8.465451e-16
-14, 10, 4.106213e+00, -1.686151e-15
-14, 11, -4.163336e-15, 2.026157e-15
-14, 12, -6.933572e-01, -1.679212e-15
-14, 13, -2.775558e-17, -4.170275e-15
-14, 14, 2.870405e+00, -9.575674e-16
-13, -14, 6.175616e-16, -2.262079e-15
-13, -13, 4.241697e-01, -7.785439e-15
-13, -12, -2.050443e-15, 4.440892e-15
-13, -11, 1.878615e-02, 1.949829e-15
-13, -10, 1.540434e-15, -9.020562e-16
-13, -9, -3.052079e-01, 4.968248e-15
-13, -8, 7.355228e-16, -9.194034e-17
-13, -7, 4.562211e-01, 7.771561e-15
-13, -6, 2.109424e-15, 2.567391e-15
-13, -5, -2.130933e-01, 5.696832e-15
-13, -4, -7.555154e-15, 3.330669e-15
-13, -3, 1.293013e-02, 1.457168e-15
-13, -2, -6.522560e-16, -6.411538e-15
-13, -1, 4.099239e-02, 6.578071e-15
-13, 0, -1.043610e-14, 1.060347e-14
-13, 1, 4.099239e-02, 0.000000e+00
-13, 2, -4.385381e-15, -6.411538e-15
-13, 3, 1.293013e-02, -1.998401e-15
-13, 4, -4.652312e-15, -8.881784e-16
