# h,k,F.real,F.imag
-14, -14, -2.097850e+00, -4.857226e-15
-14, -13, -2.444399e-14, 2.386980e-15
-14, -12, 6.059723e+00, 1.565414e-14
-14, -11, 2.831069e-15, 5.537237e-15
-14, -10, -2.670794e+00, -7.676151e-15
-14, -9, -2.109424e-15, -1.082467e-15
-14, -8, 4.926615e-15, -1.185163e-14
-14, -7, 2.347254e-14, -1.665335e-15
-14, -6, -5.923494e+00, -1.498801e-14
-14, -5, -2.273182e-14, 2.747802e-15
-14, -4, 8.790736e+00, 2.668005e-14
-14, -3, 7.743806e-15, 8.659740e-15
-14, -2, -3.557097e+00, -6.050715e-15
-14, -1, -1.581200e-14, -5.551115e-15
-14, 0, 5.745404e-15, 3.858025e-15
-14, 1, -1.737499e-14, 1.165734e-15
-14, 2, -3.557097e+00, -3.642919e-15
-14, 3, 4.746203e-15, 3.774758e-15
-14, 4, 8.790736e+00, 5.662137e-15
-14, 5, -9.049185e-15, 2.026157e-15
-14, 6, -5.923494e+00, -4.857226e-15
-14, 7, -4.579670e-15, -5.689893e-16
-14, 8, -4.246603e-15, -6.947134e-15
-14, 9, -3.358425e-15, -1.193490e-15
-14, 10, -2.670794e+00, 4.524159e-15
-14, 11, -6.910488e-15, 2.553513e-15
-14, 12, 6.059723e+00, -2.220446e-15
-14, 13, -1.451617e-14, 2.192690e-15
-14, 14, -2.097850e+00, 9.992007e-16
-13, -14, 2.187486e-15, 1.421085e-14
-13, -13, 6.022960e-15, -6.189493e-15
-13, -12, -2.026157e-15, -6.106227e-15
-13, -11, -1.226796e-14, 7.205856e-02
-13, -10, -6.938894e-15, 4.857226e-16
-13, -9, -1.637579e-14, 4.047001e+00
-13, -8, -2.482389e-15, 6.467049e-15
-13, -7, -1.491862e-14, 7.629421e+00
-13, -6, -8.271162e-15, 3.229361e-14
-13, -5, 3.663736e-15, 1.730050e+00
-13, -4, 1.390554e-14, -3.774758e-15
-13, -3, -3.358425e-15, -1.909152e+00
-13, -2, -2.936887e-15, 5.884182e-15
-13, -1, -6.994405e-15, 7.421110e+00
-13, 0, -9.936496e-15, 6.550316e-15
-13, 1, -1.726397e-14, 7.421110e+00
-13, 2, 5.273559e-16, 6.855627e-15
-13, 3, 3.330669e-15, -1.909152e+00
-13, 4, 1.360023e-15, -4.607426e-15
-13, 5, 1.110223e-16, 1.730050e+00
-13, 6, 3.247402e-15, 1.909584e-14
-13, 7, -3.747003e-15, 7.629421e+00
-13, 8, -7.632783e-15, -6.453171e-15
-13, 9, -4.315992e-15, 4.047001e+00
-13, 10, 2.854271e-15, 2.969847e-15
-13, 11, -4.163336e-15, 7.205856e-02
-13, 12, 8.243406e-15, -2.844947e-15
-13, 13, -5.495604e-15, 2.664535e-15
-13, 14, -1.193490e-15, 3.247402e-15
