# h,k,F.real,F.imag
-14, -14, -5.229934e+00, -1.947763e-14
-14, -13, -7.284693e-15, 6.019490e-16
-14, -12, -1.140466e+01, -2.824776e-14
-14, -11, -1.318170e-14, 3.861841e-14
-14, -10, -4.846127e+00, -1.547088e-14
-14, -9, 5.977451e-15, 7.372575e-15
-14, -8, -1.693490e+01, -4.356268e-14
-14, -7, -1.040736e-15, 1.059743e-14
-14, -6, -4.546076e+00, -1.367175e-15
-14, -5, 2.065015e-14, -5.963979e-15
-14, -4, -1.864151e+01, -3.281888e-14
-14, -3, -1.045136e-15, 4.097417e-15
-14, -2, -8.248186e+00, 8.224595e-15
-14, -1, -1.189418e-14, -2.026157e-15
-14, 0, -1.718759e+01, -2.450094e-14
-14, 1, -1.304905e-14, 4.010681e-15
-14, 2, -8.248186e+00, -5.328701e-15
-14, 3, -1.187881e-14, 9.263423e-15
-14, 4, -1.864151e+01, -3.641299e-14
-14, 5, -2.038777e-14, 1.467576e-15
-14, 6, -4.546076e+00, -1.455649e-14
-14, 7, -1.889163e-15, -3.219647e-15
-14, 8, -1.693490e+01, -1.636370e-14
-14, 9, -4.690185e-15, -3.460773e-15
-14, 10, -4.846127e+00, -6.817813e-15
-14, 11, -1.707442e-14, -3.198830e-15
-14, 12, -1.140466e+01, -6.912077e-15
-14, 13, -5.869429e-15, -5.551115e-17
-14, 14, -5.229934e+00, 0.000000e+00
-13, -14, -7.237266e-15, 6.021813e-16
-13, -13, 1.276790e-14, -2.471287e-14
-13, -12, -1.252470e-14, 2.334454e-14
-13, -11, 2.080026e-14, -2.636780e-14
-13, -10, -1.957462e-14, -1.238931e-14
-13, -9, 2.448374e-15, 6.494805e-15
-13, -8, -9.200973e-15, -2.157894e-14
-13, -7, -1.704006e-15, 1.978279e-14
-13, -6, 5.447032e-15, -9.060399e-15
-13, -5, -1.413946e-14, -8.243406e-15
-13, -4, -2.273182e-14, -6.026736e-15
-13, -3, -1.794813e-16, 8.881784e-16
-13, -2, -1.477984e-15, -9.076039e-15
-13, -1, -3.544752e-15, -1.471739e-14
-13, 0, -5.180578e-14, -9.252134e-15
-13, 1, -3.863942e-15, -1.137285e-14
-13, 2, -2.198935e-14, -1.684853e-14
-13, 3, 1.395648e-15, -1.502964e-14
-13, 4, -2.715883e-14, -2.936816e-15
-13, 5, -3.521085e-15, -3.136380e-15
-13, 6, -2.366163e-15, -1.420338e-14
-13, 7, -5.968273e-15, 9.992007e-16
-13, 8, -2.708944e-14, -1.406583e-15
-13, 9, 1.083556e-14, -1.034936e-14
-13, 10, -1.017936e-14, -6.416957e-15
-13, 11, -8.471246e-17, 2.386980e-15
-13, 12, -1.312145e-14, -6.072231e-15
-13, 13, 4.593098e-16, -5.551115e-17
-13, 14, -7.271961e-15, 7.646955e-17
-12, -14, -1.140466e+01, -2.819225e-14
-12, -13, -1.137090e-14, 2.347254e-14
-12, -12, -6.113412e-01, 2.252210e-15
-12, -11, -1.105281e-14, -5.592748e-15
-12, -10, 4.305897e+00, 1.844613e-14
-12, -9, 4.039033e-16, 8.014422e-15
-12, -8, 1.884530e+01, 6.942299e-14
-12, -7, 2.421444e-14, 6.557255e-16
-12, -6, -7.860148e+00, -2.265990e-14
-12, -5, -7.664786e-15, 1.672967e-14
-12, -4, -7.068561e+00, -9.675649e-16
-12, -3, -7.494146e-15, 9.159340e-16
-12, -2, -4.647614e+00, 4.550595e-15
-12, -1, -3.477606e-14, 1.046385e-14
-12, 0, 3.347520e+01, 4.965004e-14
-12, 1, -9.264410e-15, -2.688821e-15
-12, 2, -4.647614e+00, -1.586717e-15
-12, 3, -1.162036e-15, -4.576201e-15
-12, 4, -7.068561e+00, 4.178977e-15
-12, 5, -8.872153e-15, 3.545775e-15
-12, 6, -7.860148e+00, -1.451994e-14
-12, 7, 3.578170e-15, -7.178286e-15
-12, 8, 1.884530e+01, 1.266740e-14
-12, 9, -1.579148e-14, 9.055257e-16
-12, 10, 4.305897e+00, 8.571451e-15
-12, 11, -1.954007e-14, 1.186551e-15
-12, 12, -6.113412e-01, 5.551115e-17
-12, 13, -1.273681e-14, 6.189493e-15
-12, 14, -1.140466e+01, 6.884322e-15
-11, -14, -1.199388e-14, 3.870168e-14
-11, -13, 2.221938e-14, -2.641637e-14
-11, -12, -1.061998e-14, -5.592487e-15
-11, -11, 4.225114e-15, 1.737499e-14
-11, -10, -3.352874e-14, 2.170895e-15
-11, -9, 1.045697e-14, 7.702172e-15
-11, -8, 2.692291e-14, 5.633400e-14
-11, -7, -9.027087e-16, 6.175616e-16
-11, -6, -2.149669e-14, 2.017049e-15
-11, -5, -5.972709e-15, -4.618528e-14
-11, -4, -2.985112e-14, 4.236394e-15
-11, -3, 1.370773e-14, -1.123407e-14
-11, -2, -3.754635e-14, 6.046820e-15
-11, -1, -8.092636e-15, -1.033201e-14
-11, 0, -6.266515e-14, -8.590129e-14
-11, 1, -9.535926e-15, -2.519512e-14
-11, 2, 4.087009e-15, -1.971343e-14
-11, 3, -2.619484e-15, -2.029626e-14
-11, 4, -1.516842e-14, 5.758960e-16
-11, 5, -1.289672e-14, -1.088019e-14
-11, 6, -3.706757e-14, -9.197938e-15
-11, 7, -7.582668e-15, 5.710710e-15
-11, 8, -9.575674e-15, 4.664281e-15
-11, 9, -3.304437e-16, -6.494805e-15
-11, 10, -3.759493e-14, -8.224646e-15
-11, 11, -3.538836e-15, 5.551115e-17
-11, 12, -1.875236e-14, -1.242030e-15
-11, 13, -1.500126e-15, -2.407796e-15
-11, 14, -1.751724e-14, 3.143181e-15
-10, -14, -4.846127e+00, -1.547088e-14
-10, -13, -1.900810e-14, -1.246225e-14
-10, -12, 4.305897e+00, 1.844613e-14
-10, -11, -2.844947e-14, 2.282896e-15
-10, -10, 2.523309e+01, 1.935550e-14
-10, -9, 1.030617e-14, -5.945244e-14
-10, -8, 8.027707e-01, -4.167104e-14
-10, -7, -5.534462e-14, -6.619705e-15
-10, -6, 3.376836e+01, 3.467174e-14
-10, -5, -2.360772e-14, 2.525757e-15
-10, -4, -1.482134e+01, -8.591379e-15
-10, -3, -1.919306e-14, -1.351697e-14
-10, -2, 1.465640e+01, -4.096160e-15
-10, -1, -3.241448e-14, -9.235668e-15
-10, 0, 4.859654e+01, 2.847526e-15
-10, 1, -2.206960e-14, -2.171874e-15
-10, 2, 1.465640e+01, 1.085096e-14
-10, 3, -2.373455e-14, -2.005340e-14
-10, 4, -1.482134e+01, 1.024194e-14
-10, 5, -3.860534e-14, 5.377643e-15
-10, 6, 3.376836e+01, 1.196294e-14
-10, 7, -2.195306e-14, 6.245005e-16
-10, 8, 8.027707e-01, -1.349347e-15
-10, 9, -7.391833e-15, 2.052178e-14
-10, 10, 2.523309e+01, 3.697785e-32
-10, 11, -3.587032e-14, 8.226059e-15
-10, 12, 4.305897e+00, -8.571451e-15
-10, 13, -9.342217e-15, 6.357762e-15
-10, 14, -4.846127e+00, 6.817813e-15
-9, -14, 6.983997e-15, 7.344746e-15
-9, -13, 3.558705e-15, 6.432355e-15
-9, -12, 1.762479e-15, 8.124544e-15
-9, -11, 9.746898e-15, 7.924217e-15
-9, -10, 1.347533e-14, -5.923131e-14
-9, -9, 8.439743e-16, 3.114176e-14
-9, -8, -3.293893e-14, -4.843060e-14
-9, -7, 2.016741e-14, 1.620926e-14
-9, -6, 4.940492e-15, -2.750732e-14
-9, -5, 2.469016e-14, 1.923461e-14
-9, -4, -2.126077e-14, 1.893901e-14
-9, -3, 1.213926e-14, 3.594347e-15
-9, -2, 3.032297e-14, -2.778462e-14
-9, -1, -3.334639e-15, -1.874889e-14
-9, 0, 8.257284e-15, -6.133971e-14
-9, 1, 7.476158e-15, 2.317591e-15
-9, 2, 3.196055e-14, -2.045921e-14
-9, 3, 1.365952e-14, -6.106227e-15
-9, 4, -7.993606e-15, -3.944904e-15
-9, 5, 7.717532e-15, 1.018630e-14
-9, 6, 1.942890e-16, -2.949893e-14
-9, 7, 1.047191e-14, -2.109424e-15
-9, 8, 2.949030e-15, -1.571191e-14
-9, 9, 6.275279e-15, 0.000000e+00
-9, 10, -7.424616e-15, -2.041053e-14
-9, 11, -7.825728e-16, 6.439294e-15
-9, 12, -1.584843e-14, -1.016221e-15
-9, 13, 1.233526e-14, 1.024181e-14
-9, 14, -7.851358e-15, 3.515898e-15
-8, -14, -1.693490e+01, -4.353492e-14
-8, -13, -7.908372e-15, -2.155914e-14
-8, -12, 1.884530e+01, 6.931196e-14
-8, -11, 2.546180e-14, 5.622239e-14
-8, -10, 8.027707e-01, -4.150451e-14
-8, -9, -3.372550e-14, -4.848552e-14
-8, -8, -6.297818e+00, -4.237601e-14
-8, -7, -1.861899e-14, -7.022161e-15
-8, -6, 1.950962e+01, 3.798229e-14
-8, -5, -5.354044e-14, 1.640355e-14
-8, -4, 1.047707e+01, -1.862707e-14
-8, -3, -2.633010e-14, 1.310757e-14
-8, -2, -3.017404e+01, -5.026915e-14
-8, -1, -4.888357e-14, -9.617307e-15
-8, 0, 6.485371e+01, -2.000125e-15
-8, 1, -3.956871e-14, -1.502271e-14
-8, 2, -3.017404e+01, -2.974601e-14
-8, 3, -1.625745e-14, -1.236511e-14
-8, 4, 1.047707e+01, 1.033330e-14
-8, 5, -2.918974e-14, 1.547373e-15
-8, 6, 1.950962e+01, -1.858062e-14
