# h,k,F.real,F.imag
-14, -14, 6.503399e-01, -4.024558e-16
-14, -13, -5.847790e-01, -3.413936e-15
-14, -12, -3.850688e-01, -4.107825e-15
-14, -11, 5.438808e-01, 1.124101e-15
-14, -10, -7.797206e-01, -4.274359e-15
-14, -9, 2.596847e-01, -1.429412e-15
-14, -8, 8.390133e-01, -4.760081e-15
-14, -7, -5.917889e-01, -2.331468e-15
-14, -6, 7.041803e-01, 1.720846e-15
-14, -5, 9.451654e-02, 1.387779e-17
-14, -4, -1.350400e+00, -4.746203e-15
-14, -3, 2.663602e-01, -1.942890e-16
-14, -2, -2.953867e-01, 1.203898e-15
-14, -1, -1.065207e-01, -2.470246e-15
-14, 0, 1.590439e+00, 3.441691e-15
-14, 1, 1.065207e-01, 2.754741e-15
-14, 2, -2.953867e-01, 4.440892e-16
-14, 3, -2.663602e-01, 2.359224e-15
-14, 4, -1.350400e+00, -1.679212e-15
-14, 5, -9.451654e-02, -1.026956e-15
-14, 6, 7.041803e-01, -9.436896e-16
-14, 7, 5.917889e-01, -3.164136e-15
-14, 8, 8.390133e-01, 1.249001e-15
-14, 9, -2.596847e-01, -1.665335e-16
-14, 10, -7.797206e-01, -9.992007e-16
-14, 11, -5.438808e-01, 1.509209e-15
-14, 12, -3.850688e-01, -1.887379e-15
-14, 13, 5.847790e-01, -8.604228e-16
-14, 14, 6.503399e-01, -2.095546e-15
-13, -14, -7.509618e-15, 5.465190e-01
-13, -13, -9.436896e-16, 2.908372e-01
-13, -12, -6.938894e-16, -2.532118e-01
-13, -11, 1.254205e-14, -1.090975e+00
-13, -10, 2.026157e-15, -4.232726e-01
-13, -9, -1.082467e-15, -6.744374e-03
-13, -8, -4.621303e-15, 6.308111e-01
-13, -7, -4.801715e-15, 1.500488e+00
-13, -6, -9.436896e-16, -7.971093e-02
-13, -5, -1.831868e-15, -5.720892e-01
-13, -4, -5.967449e-16, -5.847704e-01
-13, -3, 4.191092e-15, -1.646557e+00
-13, -2, 1.471046e-15, 6.150594e-01
-13, -1, -4.607426e-15, 1.272604e+00
-13, 0, -1.665335e-16, 2.900458e-15
-13, 1, 5.273559e-16, 1.272604e+00
-13, 2, 2.053913e-15, -6.150594e-01
-13, 3, 3.358425e-15, -1.646557e+00
-13, 4, -2.747802e-15, 5.847704e-01
-13, 5, -3.625572e-16, -5.720892e-01
-13, 6, 6.383782e-16, 7.971093e-02
-13, 7, -3.358425e-15, 1.500488e+00
-13, 8, 5.551115e-17, -6.308111e-01
-13, 9, 8.604228e-16, -6.744374e-03
-13, 10, -1.026956e-15, 4.232726e-01
-13, 11, -9.298118e-16, -1.090975e+00
-13, 12, -2.081668e-16, 2.532118e-01
-13, 13, -4.163336e-16, 2.908372e-01
-13, 14, 4.454770e-15, -5.465190e-01
-12, -14, -3.850688e-01, -1.665335e-16
-12, -13, -6.631560e-01, 2.733924e-15
-12, -12, 8.094239e-01, 2.414735e-15
-12, -11, -4.669874e-01, -1.512679e-15
-12, -10, 3.458741e-02, -6.987466e-15
-12, -9, 1.304282e+00, 5.190293e-15
-12, -8, -8.067303e-01, 2.081668e-15
-12, -7, 2.905719e-02, 7.962381e-15
-12, -6, 2.309016e-01, 1.998401e-15
-12, -5, -1.886137e+00, 1.110223e-16
-12, -4, 5.755849e-01, 4.225786e-15
-12, -3, 9.208380e-01, 6.938894e-16
-12, -2, -1.520771e-01, 2.886580e-15
-12, -1, 1.805537e+00, 7.494005e-15
-12, 0, -4.218746e-01, 1.609823e-15
-12, 1, -1.805537e+00, -8.881784e-16
-12, 2, -1.520771e-01, 1.998401e-15
-12, 3, -9.208380e-01, -7.271961e-15
-12, 4, 5.755849e-01, -1.665335e-16
-12, 5, 1.886137e+00, 2.692291e-15
-12, 6, 2.309016e-01, -3.150258e-15
-12, 7, -2.905719e-02, 2.442491e-15
-12, 8, -8.067303e-01, 2.775558e-16
