# h,k,F.real,F.imag
-14, -14, -1.685621e-01, -5.795305e-15
-14, -13, 2.039525e+01, 7.002732e-14
-14, -12, -3.526392e+00, -8.835588e-14
-14, -11, -1.481722e+01, -6.833423e-14
-14, -10, -6.799328e+00, -5.055475e-14
-14, -9, 1.174650e+01, -6.411538e-15
-14, -8, 3.960819e+01, 5.920503e-15
-14, -7, 4.127929e+01, 7.538414e-14
-14, -6, -7.620629e-01, 7.648518e-14
-14, -5, 4.604112e+00, 9.769963e-15
-14, -4, -1.732841e+01, -9.689120e-14
-14, -3, -1.755948e+01, -6.983303e-14
-14, -2, -6.040078e+00, -3.025201e-14
-14, -1, 3.901930e+01, 4.191092e-14
-14, 0, 5.653088e+01, 8.561249e-14
-14, 1, 3.901930e+01, 1.315614e-14
-14, 2, -6.040078e+00, -5.607800e-14
-14, 3, -1.755948e+01, -6.078471e-14
-14, 4, -1.732841e+01, -1.461041e-13
-14, 5, 4.604112e+00, -4.968248e-14
-14, 6, -7.620629e-01, 2.657918e-14
-14, 7, 4.127929e+01, 3.175238e-14
-14, 8, 3.960819e+01, -5.278164e-15
-14, 9, 1.174650e+01, -1.287859e-14
-14, 10, -6.799328e+00, -1.909882e-14
-14, 11, -1.481722e+01, -2.908784e-14
-14, 12, -3.526392e+00, -5.409519e-14
-14, 13, 2.039525e+01, -4.193867e-14
-14, 14, -1.685621e-01, 5.114765e-14
-13, -14, -2.039525e+01, -1.593170e-14
-13, -13, -3.036028e+00, -1.651094e-14
-13, -12, -7.796582e-01, -3.416711e-14
-13, -11, 2.629441e+00, -3.030909e-14
-13, -10, -2.869027e+00, 2.467471e-14
-13, -9, 4.854903e+00, -9.436896e-15
-13, -8, 7.680562e-01, 4.490852e-14
-13, -7, 2.858976e-01, -6.259952e-14
-13, -6, -2.389330e+01, -4.829470e-15
-13, -5, -4.074906e-01, 1.791464e-14
-13, -4, -3.648352e-02, 1.737499e-14
-13, -3, 3.595369e+00, 1.121325e-14
-13, -2, -1.509797e+01, -3.724798e-14
-13, -1, 2.220160e+00, -1.114382e-13
-13, 0, -2.006469e-15, 1.131872e-13
-13, 1, 2.220160e+00, -1.040006e-13
-13, 2, -1.509797e+01, 7.494005e-15
-13, 3, 3.595369e+00, 1.879068e-15
-13, 4, -3.648352e-02, 1.898481e-14
-13, 5, -4.074906e-01, 1.114228e-14
-13, 6, -2.389330e+01, -1.521006e-14
-13, 7, 2.858976e-01, -9.844903e-14
-13, 8, 7.680562e-01, 2.528533e-14
-13, 9, 4.854903e+00, -4.321734e-15
-13, 10, -2.869027e+00, 3.289036e-14
-13, 11, 2.629441e+00, 3.594347e-14
-13, 12, -7.796582e-01, -3.358425e-15
-13, 13, -3.036028e+00, -3.524958e-14
-13, 14, -2.039525e+01, 3.316791e-14
-12, -14, -3.526392e+00, 4.412857e-14
-12, -13, 7.796582e-01, -8.382184e-15
-12, -12, 1.575191e+01, -1.061520e-14
-12, -11, -6.528159e+00, 1.709743e-14
-12, -10, -1.549442e+01, -1.693145e-14
-12, -9, 9.821650e-02, -7.369105e-14
-12, -8, 1.874458e+01, 2.945794e-14
-12, -7, 7.371804e+00, 1.110223e-16
-12, -6, -8.619515e+00, -2.472463e-14
-12, -5, -4.586894e+00, -3.430589e-14
-12, -4, 1.955755e+01, 8.483976e-14
-12, -3, -9.745237e+00, 1.432188e-14
-12, -2, -1.784053e+01, 2.164125e-14
-12, -1, 6.332473e+00, 1.992850e-14
-12, 0, 3.108760e+01, 3.351481e-14
-12, 1, 6.332473e+00, -9.492407e-15
-12, 2, -1.784053e+01, -2.539073e-14
-12, 3, -9.745237e+00, -2.775558e-14
-12, 4, 1.955755e+01, 3.996351e-14
-12, 5, -4.586894e+00, -2.942091e-15
-12, 6, -8.619515e+00, -3.818338e-14
-12, 7, 7.371804e+00, 1.509903e-14
-12, 8, 1.874458e+01, -3.744526e-14
-12, 9, 9.821650e-02, -3.022582e-14
-12, 10, -1.549442e+01, 1.010884e-14
-12, 11, -6.528159e+00, -7.494005e-15
-12, 12, 1.575191e+01, 2.364775e-14
-12, 13, 7.796582e-01, -1.196265e-14
-12, 14, -3.526392e+00, -4.059978e-14
-11, -14, 1.481722e+01, 3.286260e-14
-11, -13, 2.629441e+00, -4.340972e-14
-11, -12, 6.528159e+00, 4.496403e-14
-11, -11, 1.576093e+00, 3.258149e-14
-11, -10, 8.335109e+00, 4.943268e-14
-11, -9, 3.712191e-01, -5.854978e-14
-11, -8, -3.694612e+00, -8.720802e-14
-11, -7, 2.094718e+00, 2.217627e-14
-11, -6, 2.528964e+01, 3.069767e-14
-11, -5, 3.207613e+00, -3.941292e-14
-11, -4, 2.143570e+00, -2.020606e-14
-11, -3, 1.841226e+00, 3.155066e-14
-11, -2, 1.989119e+01, 7.616130e-14
-11, -1, 2.394357e+00, 6.193504e-14
-11, 0, 1.599359e-14, -8.998358e-14
-11, 1, 2.394357e+00, 2.732689e-14
-11, 2, 1.989119e+01, 5.617729e-14
-11, 3, 1.841226e+00, 1.524524e-14
-11, 4, 2.143570e+00, 3.358425e-14
-11, 5, 3.207613e+00, 3.175238e-14
-11, 6, 2.528964e+01, 5.223599e-14
-11, 7, 2.094718e+00, 8.188327e-15
-11, 8, -3.694612e+00, -3.075318e-14
-11, 9, 3.712191e-01, 1.404432e-14
-11, 10, 8.335109e+00, -4.629630e-14
-11, 11, 1.576093e+00, 5.578871e-14
