# h,k,F.real,F.imag
-14, -14, 9.978678e+00, 4.677508e-14
-14, -13, -6.786238e-15, 5.065393e-15
-14, -12, -2.059379e+01, -1.202718e-13
-14, -11, -2.085138e-14, -5.453277e-14
-14, -10, 6.862419e+00, 4.503342e-14
-14, -9, 3.008704e-14, 5.795017e-14
-14, -8, 1.169102e+01, 1.258715e-14
-14, -7, -2.359224e-15, 6.661338e-16
-14, -6, -4.251418e+00, -1.430106e-14
-14, -5, -5.896672e-14, -4.575507e-14
-14, -4, -1.962090e+00, -1.480760e-14
-14, -3, -1.472433e-14, -3.900612e-14
-14, -2, 7.973533e+00, 3.530509e-14
-14, -1, -5.340867e-14, -7.120693e-14
-14, 0, -4.218899e+00, -2.539653e-14
-14, 1, -4.107825e-14, -4.191092e-15
-14, 2, 7.973533e+00, 2.703393e-14
-14, 3, -3.259892e-14, -6.527938e-14
-14, 4, -1.962090e+00, -4.482525e-15
-14, 5, -5.272172e-14, 1.521006e-14
-14, 6, -4.251418e+00, -2.779721e-14
-14, 7, -3.657491e-14, -1.040834e-15
-14, 8, 1.169102e+01, -9.561796e-15
-14, 9, -1.595946e-14, -5.444256e-14
-14, 10, 6.862419e+00, 1.003364e-14
-14, 11, -2.314815e-14, -6.772360e-15
-14, 12, -2.059379e+01, -2.442491e-14
-14, 13, -2.599310e-14, -2.360612e-14
-14, 14, 9.978678e+00, -1.873501e-16
-13, -14, -6.036838e-15, 6.696033e-15
-13, -13, 2.067663e+01, -4.006517e-14
-13, -12, -1.468270e-14, 2.418898e-14
-13, -11, 1.989346e+00, -1.443290e-14
-13, -10, -1.134856e-14, 2.811640e-14
-13, -9, 5.758433e+00, 3.245321e-14
-13, -8, 9.908740e-15, 2.664535e-14
-13, -7, 1.899316e+01, 2.911560e-14
-13, -6, -1.434963e-14, 1.273461e-14
-13, -5, 4.448770e+00, -1.104672e-14
-13, -4, 2.836620e-14, 7.401024e-14
-13, -3, 2.106644e+01, 3.662001e-14
-13, -2, -2.284284e-14, -4.150846e-14
-13, -1, 8.457069e+00, 1.548761e-14
-13, 0, -1.212919e-14, 1.324359e-13
-13, 1, 8.457069e+00, -3.885781e-15
-13, 2, -8.326673e-15, -4.694856e-14
-13, 3, 2.106644e+01, 1.498454e-14
-13, 4, 1.756234e-14, -1.583456e-14
-13, 5, 4.448770e+00, 2.303713e-15
-13, 6, -3.100298e-14, 3.613949e-14
-13, 7, 1.899316e+01, -1.852685e-14
-13, 8, -4.565792e-15, 3.513856e-14
-13, 9, 5.758433e+00, -6.272760e-15
-13, 10, -1.700029e-16, -2.910172e-14
-13, 11, 1.989346e+00, 4.052314e-15
-13, 12, 1.586231e-14, 8.825926e-14
-13, 13, 2.067663e+01, -2.220446e-16
-13, 14, -2.581269e-14, 2.312733e-14
-12, -14, -2.059379e+01, -1.201400e-13
-12, -13, -1.355166e-14, 2.406408e-14
-12, -12, 3.609804e+01, 1.708182e-13
-12, -11, -6.272760e-15, -4.667100e-14
-12, -10, -2.012624e+01, -8.115730e-14
-12, -9, 5.982714e-14, 6.061124e-15
-12, -8, -1.444409e+01, -6.142309e-14
-12, -7, -2.425143e-14, -4.202194e-14
-12, -6, 5.002185e+01, 8.543860e-14
-12, -5, 3.173850e-14, -2.645106e-14
-12, -4, -5.046241e+00, -1.290634e-14
-12, -3, -2.248202e-15, 3.086593e-14
-12, -2, -4.783711e+01, -1.368627e-13
-12, -1, -1.471046e-14, -5.173639e-14
-12, 0, 1.032138e+02, 1.971244e-13
-12, 1, -3.624878e-14, -7.169265e-14
-12, 2, -4.783711e+01, -8.415491e-14
-12, 3, 8.104628e-15, 2.444225e-15
-12, 4, -5.046241e+00, 1.801337e-14
-12, 5, -9.964252e-15, -4.125866e-14
-12, 6, 5.002185e+01, 1.319778e-14
-12, 7, -3.440304e-14, -4.422851e-14
-12, 8, -1.444409e+01, 3.759493e-14
-12, 9, -7.313594e-15, 7.950585e-14
-12, 10, -2.012624e+01, -8.451573e-15
-12, 11, -1.154632e-14, -5.237477e-14
-12, 12, 3.609804e+01, -1.665335e-16
-12, 13, 1.275716e-14, -8.835987e-14
-12, 14, -2.059379e+01, 2.495226e-14
-11, -14, -1.731948e-14, -5.463685e-14
-11, -13, 1.989346e+00, -1.390554e-14
-11, -12, -7.924217e-15, -4.631365e-14
-11, -11, 1.191487e+01, 1.226241e-13
-11, -10, 1.208755e-14, 4.558853e-14
-11, -9, -6.927693e+00, 7.761153e-15
-11, -8, 3.191891e-15, -1.471046e-14
-11, -7, -8.417194e+00, -2.958744e-14
-11, -6, 2.198242e-14, 1.174061e-14
-11, -5, 8.237173e+00, -2.742251e-14
-11, -4, 2.678413e-14, -2.073341e-14
-11, -3, 1.455669e+01, 5.275468e-14
-11, -2, 5.412337e-15, 6.383782e-16
-11, -1, -1.449625e+01, -3.119727e-14
-11, 0, -1.174061e-14, -1.761907e-13
-11, 1, -1.449625e+01, -5.356826e-14
-11, 2, 2.024769e-14, -4.615752e-14
-11, 3, 1.455669e+01, 2.345173e-14
-11, 4, -8.881784e-16, 3.888556e-14
-11, 5, 8.237173e+00, -3.530509e-14
-11, 6, 2.947642e-14, -3.584286e-14
-11, 7, -8.417194e+00, -3.214096e-14
-11, 8, -4.220235e-14, 3.599898e-14
-11, 9, -6.927693e+00, 3.646389e-15
-11, 10, 1.432188e-14, -3.483325e-14
-11, 11, 1.191487e+01, 1.387779e-17
-11, 12, -1.160183e-14, 5.151435e-14
-11, 13, 1.989346e+00, -3.927414e-15
-11, 14, -2.151057e-14, 7.487067e-15
-10, -14, 6.862419e+00, 4.440198e-14
-10, -13, -1.054018e-14, 2.887968e-14
-10, -12, -2.012624e+01, -8.079995e-14
-10, -11, 1.132427e-14, 4.524159e-14
-10, -10, 7.913843e+00, 7.063794e-14
-10, -9, 1.279532e-14, 9.627715e-14
-10, -8, 1.861691e+00, 9.506285e-15
-10, -7, 3.141931e-14, 1.081635e-13
