# h,k,F.real,F.imag
-14, -14, 3.066806e+00, 5.161778e-15
-14, -13, 4.246496e-15, -1.276756e-15
-14, -12, -5.217801e-02, -5.883907e-15
-14, -11, -1.247912e-15, -1.221245e-15
-14, -10, 3.858732e+00, 8.550044e-15
-14, -9, 1.139813e-15, -2.886580e-15
-14, -8, -6.940508e-02, 7.181478e-16
-14, -7, 3.081685e-15, 9.992007e-16
-14, -6, 4.702216e+00, 1.293415e-14
-14, -5, 5.182072e-15, -2.886580e-15
-14, -4, -8.971473e-02, -5.223947e-15
-14, -3, -5.188566e-15, 1.776357e-15
-14, -2, 5.306470e+00, 1.264466e-14
-14, -1, -4.691731e-15, -2.553513e-15
-14, 0, -9.929658e-02, 2.439673e-15
-14, 1, 1.675013e-16, 2.553513e-15
-14, 2, 5.306470e+00, 5.884238e-15
-14, 3, -4.012993e-15, -1.776357e-15
-14, 4, -8.971473e-02, -6.205650e-15
-14, 5, -1.448272e-15, 7.771561e-16
-14, 6, 4.702216e+00, 3.474705e-15
-14, 7, -3.010971e-15, 9.992007e-16
-14, 8, -6.940508e-02, 1.108813e-15
-14, 9, -1.615695e-15, 1.110223e-15
-14, 10, 3.858732e+00, 1.425007e-15
-14, 11, -2.893461e-15, 2.831069e-15
-14, 12, -5.217801e-02, -2.206606e-16
-14, 13, -1.521350e-16, -1.665335e-16
-14, 14, 3.066806e+00, 0.000000e+00
-13, -14, 4.246496e-15, -1.332268e-15
-13, -13, 0.000000e+00, -6.246087e-15
-13, -12, -1.490172e-15, 1.776357e-15
-13, -11, 0.000000e+00, -3.944305e-31
-13, -10, 1.686263e-15, -1.776357e-15
-13, -9, 0.000000e+00, 5.798788e-15
-13, -8, 2.335792e-15, 2.220446e-15
-13, -7, 0.000000e+00, 6.628405e-15
-13, -6, 2.107189e-15, -1.998401e-15
-13, -5, 0.000000e+00, 4.831809e-15
-13, -4, -7.411675e-15, 2.664535e-15
-13, -3, 0.000000e+00, 2.542266e-15
-13, -2, 2.424332e-15, -2.220446e-15
-13, -1, 0.000000e+00, 5.383258e-15
-13, 0, -7.987434e-15, 2.886580e-15
-13, 1, 0.000000e+00, -1.056145e-16
-13, 2, -1.633176e-15, -2.220446e-15
-13, 3, 0.000000e+00, -9.973340e-17
-13, 4, -4.852606e-15, 2.220446e-16
-13, 5, 0.000000e+00, 4.831809e-15
-13, 6, -2.439565e-16, 2.220446e-16
-13, 7, 0.000000e+00, 2.158226e-15
-13, 8, -5.070951e-15, 2.220446e-16
-13, 9, 0.000000e+00, -6.464903e-17
-13, 10, -1.952244e-16, 2.220446e-16
-13, 11, 0.000000e+00, 3.430312e-15
-13, 12, -3.152867e-15, 2.220446e-16
-13, 13, 0.000000e+00, 0.000000e+00
-13, 14, -1.521350e-16, 2.220446e-16
-12, -14, -5.217801e-02, -5.883907e-15
-12, -13, -1.490172e-15, 1.776357e-15
-12, -12, 3.945499e+00, 8.742641e-15
-12, -11, 1.444404e-15, -5.107026e-15
-12, -10, -7.500615e-02, 7.505143e-16
-12, -9, -1.351254e-15, 7.771561e-16
-12, -8, 5.139354e+00, 1.878981e-14
-12, -7, 1.192534e-15, -3.552714e-15
-12, -6, -1.107191e-01, -5.988157e-15
-12, -5, -9.506562e-16, 1.776357e-15
-12, -4, 6.369751e+00, 9.423527e-15
-12, -3, -5.369250e-15, -3.441691e-15
-12, -2, -1.400643e-01, -3.090462e-15
-12, -1, -6.475735e-15, 2.775558e-15
-12, 0, 6.944015e+00, 7.706616e-15
-12, 1, -4.910748e-15, -2.775558e-15
-12, 2, -1.400643e-01, -2.207473e-15
-12, 3, -2.374981e-15, 5.551115e-16
-12, 4, 6.369751e+00, 4.711763e-15
-12, 5, -3.708520e-15, 8.881784e-16
-12, 6, -1.107191e-01, -3.741185e-15
-12, 7, -1.278576e-15, 1.110223e-15
-12, 8, 5.139354e+00, 1.899429e-15
-12, 9, -3.529033e-15, 1.332268e-15
-12, 10, -7.500615e-02, 1.747549e-15
-12, 11, -4.602468e-16, 3.219647e-15
-12, 12, 3.945499e+00, 0.000000e+00
-12, 13, -3.152867e-15, -1.665335e-16
-12, 14, -5.217801e-02, 2.206606e-16
-11, -14, -1.247912e-15, -1.221245e-15
-11, -13, 0.000000e+00, -1.972152e-31
-11, -12, 1.444404e-15, -5.107026e-15
-11, -11, 0.000000e+00, 8.205922e-15
-11, -10, 2.744175e-15, -1.554312e-15
-11, -9, 0.000000e+00, 2.464719e-15
-11, -8, 7.058823e-15, -6.883383e-15
-11, -7, 0.000000e+00, -5.383258e-15
-11, -6, -8.084978e-15, -2.220446e-15
-11, -5, 0.000000e+00, -2.985982e-15
-11, -4, -4.072201e-15, -8.659740e-15
-11, -3, 0.000000e+00, 1.426358e-16
-11, -2, -9.751986e-15, -2.442491e-15
-11, -1, 0.000000e+00, 1.514518e-16
-11, 0, -4.507618e-15, -9.325873e-15
-11, 1, 0.000000e+00, -7.060810e-15
-11, 2, -6.216552e-15, -5.995204e-15
-11, 3, 0.000000e+00, -6.705133e-15
-11, 4, -7.925153e-16, -5.551115e-15
-11, 5, 0.000000e+00, -2.985982e-15
-11, 6, -5.153893e-15, -4.884981e-15
-11, 7, 0.000000e+00, 1.056145e-16
-11, 8, -6.183827e-16, -4.218847e-15
-11, 9, 0.000000e+00, -2.295072e-15
-11, 10, -3.886169e-15, -3.774758e-15
-11, 11, 0.000000e+00, 0.000000e+00
-11, 12, -4.602468e-16, -3.330669e-15
-11, 13, 0.000000e+00, -3.430312e-15
-11, 14, -2.893461e-15, -2.886580e-15
-10, -14, 3.858732e+00, 8.550044e-15
-10, -13, 1.686263e-15, -1.665335e-15
-10, -12, -7.500615e-02, 7.505143e-16
-10, -11, 2.744175e-15, -1.665335e-15
-10, -10, 5.306470e+00, 1.460608e-14
-10, -9, 1.616789e-15, -4.107825e-15
-10, -8, -1.242445e-01, -6.472633e-15
-10, -7, -7.597951e-15, 1.554312e-15
-10, -6, 7.276340e+00, 1.076830e-14
-10, -5, -5.852177e-15, -4.551914e-15
-10, -4, -1.781972e-01, -2.194989e-17
-10, -3, -8.717443e-15, 3.108624e-15
-10, -2, 9.041995e+00, 1.003713e-14
-10, -1, -8.106962e-15, -4.218847e-15
-10, 0, -1.989815e-01, -1.150203e-14
-10, 1, -3.908766e-15, 2.220446e-16
-10, 2, 9.041995e+00, 6.691421e-15
-10, 3, -4.767223e-15, 8.881784e-16
-10, 4, -1.781972e-01, 2.137358e-15
-10, 5, -2.316743e-15, 1.221245e-15
-10, 6, 7.276340e+00, 2.692076e-15
-10, 7, -4.537458e-15, 1.443290e-15
-10, 8, -1.242445e-01, -3.232283e-15
-10, 9, -9.889456e-16, 1.554312e-15
-10, 10, 5.306470e+00, 0.000000e+00
-10, 11, -3.886169e-15, 3.774758e-15
-10, 12, -7.500615e-02, -1.747549e-15
-10, 13, -1.952244e-16, -2.220446e-16
-10, 14, 3.858732e+00, -1.425007e-15
-9, -14, 1.139813e-15, -2.886580e-15
-9, -13, 0.000000e+00, 5.798788e-15
-9, -12, -1.351254e-15, 8.881784e-16
