# h,k,F.real,F.imag
-14, -14, 2.052638e+00, 1.831868e-15
-14, -13, 5.199709e+00, 3.874678e-14
-14, -12, -3.038417e+00, -2.042810e-14
-14, -11, -3.051635e+00, -2.275957e-15
-14, -10, -7.033887e+00, -1.659783e-14
-14, -9, -3.777660e+00, -2.442491e-14
-14, -8, 9.747491e+00, 9.978129e-15
-14, -7, -9.073179e-01, 4.329870e-15
-14, -6, -1.281131e+01, -6.095124e-14
-14, -5, -2.167800e+00, -2.184364e-14
-14, -4, -2.773623e-01, -5.551115e-16
-14, -3, 6.212739e+00, -1.332268e-14
-14, -2, 1.881795e+00, 8.659740e-15
-14, -1, -7.275383e+00, -9.880985e-15
-14, 0, -8.949527e+00, -8.437695e-15
-14, 1, -7.275383e+00, -8.215650e-15
-14, 2, 1.881795e+00, 6.106227e-15
-14, 3, 6.212739e+00, 1.310063e-14
-14, 4, -2.773623e-01, -8.992806e-15
-14, 5, -2.167800e+00, 2.123302e-14
-14, 6, -1.281131e+01, -2.853273e-14
-14, 7, -9.073179e-01, 3.330669e-16
-14, 8, 9.747491e+00, 7.840950e-15
-14, 9, -3.777660e+00, -6.883383e-15
-14, 10, -7.033887e+00, -2.020606e-14
-14, 11, -3.051635e+00, 9.769963e-15
-14, 12, -3.038417e+00, 3.108624e-15
-14, 13, 5.199709e+00, -1.038059e-14
-14, 14, 2.052638e+00, -5.551115e-17
-13, -14, -5.199709e+00, -8.881784e-16
-13, -13, -1.064051e-01, -5.274947e-14
-13, -12, -5.480152e+00, 2.997602e-14
-13, -11, -1.003311e+01, -5.240253e-14
-13, -10, 2.730044e-02, -2.997602e-14
-13, -9, 8.598260e+00, -4.662937e-15
-13, -8, -1.160638e+01, 3.987088e-14
-13, -7, 3.480461e+00, 2.386980e-14
-13, -6, -1.239950e+00, -2.908784e-14
-13, -5, -1.681484e+01, -8.759660e-14
-13, -4, -6.471439e+00, -3.885781e-15
-13, -3, 4.596027e+00, -2.997602e-15
-13, -2, -1.157179e+01, 2.131628e-14
-13, -1, -1.056399e+00, -1.998401e-14
-13, 0, -7.105427e-15, -1.776357e-15
-13, 1, -1.056399e+00, -1.809664e-14
-13, 2, -1.157179e+01, 1.354472e-14
-13, 3, 4.596027e+00, -4.152234e-14
-13, 4, -6.471439e+00, -9.214851e-15
-13, 5, -1.681484e+01, -4.252154e-14
-13, 6, -1.239950e+00, -2.731149e-14
-13, 7, 3.480461e+00, -1.643130e-14
-13, 8, -1.160638e+01, 1.619538e-14
-13, 9, 8.598260e+00, -1.665335e-14
-13, 10, 2.730044e-02, -1.909584e-14
-13, 11, -1.003311e+01, -2.631229e-14
-13, 12, -5.480152e+00, -1.698641e-14
-13, 13, -1.064051e-01, -4.825307e-14
-13, 14, -5.199709e+00, 1.421085e-14
