# h,k,F.real,F.imag
-14, -14, 5.236168e+00, 7.993606e-15
-14, -13, -9.195744e-01, 2.999510e-14
-14, -12, 6.580104e+00, -7.993606e-15
-14, -11, -1.075305e+01, -5.384582e-14
-14, -10, 2.968431e+00, -3.996803e-15
-14, -9, 7.857763e+00, -1.454392e-14
-14, -8, 4.039395e-01, -3.663736e-15
-14, -7, 6.663836e+00, 3.086420e-14
-14, -6, -5.871824e+00, -5.651035e-14
-14, -5, 1.641841e+01, 2.614575e-14
-14, -4, 4.839903e+00, -1.940115e-14
-14, -3, 1.776988e+01, 3.673450e-14
-14, -2, 1.399293e+01, 1.559863e-14
-14, -1, -3.039304e+00, -8.104628e-15
-14, 0, 1.152597e+00, 2.287059e-14
-14, 1, 3.039304e+00, 1.887379e-14
-14, 2, 1.399293e+01, 2.620126e-14
-14, 3, -1.776988e+01, 7.771561e-15
-14, 4, 4.839903e+00, 1.110223e-16
-14, 5, -1.641841e+01, -1.249001e-14
-14, 6, -5.871824e+00, -1.632028e-14
-14, 7, -6.663836e+00, 5.467848e-15
-14, 8, 4.039395e-01, 1.498801e-14
-14, 9, -7.857763e+00, 1.970646e-14
-14, 10, 2.968431e+00, 1.393330e-14
-14, 11, 1.075305e+01, 1.010303e-14
-14, 12, 6.580104e+00, 3.103073e-14
-14, 13, 9.195744e-01, 7.938095e-15
-14, 14, 5.236168e+00, -2.220446e-16
-13, -14, 1.021405e-14, -6.272760e-15
-13, -13, -1.543210e-14, 1.332268e-15
-13, -12, 1.079692e-14, 4.779510e-14
-13, -11, -4.496403e-15, -1.942890e-14
-13, -10, -2.925438e-14, -2.076117e-14
-13, -9, 9.714451e-15, -2.964295e-14
-13, -8, 1.543210e-14, 1.981748e-14
-13, -7, -4.063416e-14, -7.931156e-14
-13, -6, -3.663736e-14, -4.531098e-14
-13, -5, -7.549517e-15, -3.830269e-15
-13, -4, 2.486900e-14, 8.992806e-15
-13, -3, -1.604272e-14, -9.992007e-15
-13, -2, -5.676015e-15, -2.264855e-14
-13, -1, -1.326717e-14, 4.440892e-16
-13, 0, -3.885781e-16, -4.440892e-15
-13, 1, 1.820766e-14, 1.332268e-14
-13, 2, -4.440892e-15, -2.825518e-14
-13, 3, 7.216450e-15, -1.033895e-14
-13, 4, 5.884182e-15, 6.578071e-15
-13, 5, -3.552714e-15, 4.085621e-14
-13, 6, -2.942091e-15, -7.216450e-15
-13, 7, 1.756928e-14, 4.551914e-14
-13, 8, 1.731948e-14, 4.396483e-14
-13, 9, 2.775558e-16, 1.709743e-14
-13, 10, -9.159340e-15, 1.570966e-14
