# h,k,F.real,F.imag
-14, -14, -2.978131e-02, 8.152266e-15
-14, -13, -2.942091e-15, 2.201816e-14
-14, -12, 3.723613e+00, -5.811638e-15
-14, -11, 8.049117e-15, 1.981755e-14
-14, -10, -9.648999e-01, -7.872690e-15
-14, -9, 1.665335e-15, 1.451322e-14
-14, -8, 5.499605e+00, 1.268441e-14
-14, -7, -8.992806e-15, 2.252369e-14
-14, -6, -1.992182e+00, 1.056374e-14
-14, -5, -2.126077e-14, 2.613469e-15
-14, -4, 7.130795e+00, 9.777481e-15
-14, -3, 1.249001e-14, 3.071658e-14
-14, -2, -2.720137e+00, 4.235539e-15
-14, -1, -1.398881e-14, 1.973846e-15
-14, 0, 7.828033e+00, 9.707465e-15
-14, 1, -5.107026e-15, 3.076560e-14
-14, 2, -2.720137e+00, 3.586049e-15
-14, 3, 6.217249e-15, 1.029184e-14
-14, 4, 7.130795e+00, 7.273054e-15
-14, 5, -9.825474e-15, 1.531437e-14
-14, 6, -1.992182e+00, -2.722937e-16
-14, 7, -7.160939e-15, 1.859608e-14
-14, 8, 5.499605e+00, 6.313592e-15
-14, 9, -9.492407e-15, 7.477256e-15
-14, 10, -9.648999e-01, 5.197724e-15
-14, 11, 3.108624e-15, 2.096911e-14
-14, 12, 3.723613e+00, -5.606484e-15
-14, 13, -8.215650e-15, -2.182133e-15
-14, 14, -2.978131e-02, 1.387779e-17
-13, -14, -2.553513e-15, 2.212918e-14
-13, -13, 6.650419e+00, -3.554659e-14
-13, -12, -3.885781e-15, 1.579469e-14
-13, -11, 2.766513e+00, -7.105276e-15
-13, -10, -3.441691e-15, 4.385868e-15
-13, -9, 7.776242e+00, 2.745648e-14
-13, -8, 2.775558e-15, -2.044397e-15
-13, -7, 4.251245e+00, 9.166627e-15
-13, -6, -2.220446e-16, 3.420563e-15
-13, -5, 8.350748e+00, 2.176078e-14
-13, -4, -9.992007e-15, 5.229320e-15
-13, -3, 6.188853e+00, -5.638359e-16
-13, -2, -9.769963e-15, 1.276269e-14
-13, -1, 7.828179e+00, 1.765906e-14
-13, 0, -1.709743e-14, 4.473057e-14
-13, 1, 7.828179e+00, 1.404034e-14
-13, 2, -4.662937e-15, 8.707589e-15
-13, 3, 6.188853e+00, 1.590369e-14
-13, 4, -6.883383e-15, 1.565175e-14
-13, 5, 8.350748e+00, 1.028363e-14
-13, 6, -7.549517e-15, 2.260943e-14
-13, 7, 4.251245e+00, 1.221104e-14
-13, 8, -1.243450e-14, 1.736674e-14
-13, 9, 7.776242e+00, 9.747910e-15
-13, 10, -5.218048e-15, 1.642213e-14
-13, 11, 2.766513e+00, 1.202968e-14
-13, 12, -3.219647e-15, 1.056514e-14
-13, 13, 6.650419e+00, -1.110223e-16
-13, 14, -8.548717e-15, 2.182133e-15
-12, -14, 3.723613e+00, -5.797760e-15
-12, -13, -3.330669e-15, 1.596123e-14
-12, -12, 2.003392e+01, 6.185913e-14
-12, -11, 1.554312e-14, -6.055270e-15
-12, -10, 3.756061e+00, 1.917023e-14
-12, -9, -2.498002e-15, 1.510759e-15
-12, -8, 2.747075e+01, 5.740277e-14
-12, -7, -1.332268e-15, -1.509259e-14
-12, -6, 3.766664e+00, 8.216759e-15
-12, -5, -1.865175e-14, -3.138387e-15
-12, -4, 3.480306e+01, 6.364416e-14
-12, -3, 1.310063e-14, -1.244627e-14
-12, -2, 3.780358e+00, 1.412821e-14
-12, -1, 3.774758e-15, 2.841081e-15
-12, 0, 3.810564e+01, 3.863814e-14
-12, 1, 3.441691e-15, -1.989180e-14
-12, 2, 3.780358e+00, 5.418729e-15
-12, 3, 1.421085e-14, -6.703699e-15
-12, 4, 3.480306e+01, 2.813059e-14
-12, 5, -3.330669e-15, -2.734623e-15
-12, 6, 3.766664e+00, 1.372550e-14
-12, 7, 5.773160e-15, -2.770026e-15
-12, 8, 2.747075e+01, 1.998833e-14
-12, 9, -4.996004e-15, -9.674751e-16
-12, 10, 3.756061e+00, 1.410271e-14
-12, 11, 8.326673e-15, 1.086200e-14
-12, 12, 2.003392e+01, -8.326673e-17
-12, 13, -2.997602e-15, -1.062065e-14
-12, 14, 3.723613e+00, 5.641178e-15
-11, -14, 8.104628e-15, 1.970653e-14
-11, -13, 2.766513e+00, -7.105276e-15
-11, -12, 1.543210e-14, -5.999759e-15
-11, -11, -1.843735e+00, 2.607618e-14
-11, -10, 2.775558e-15, 1.466222e-15
-11, -9, 2.990894e+00, -1.122709e-15
-11, -8, 1.754152e-14, -3.374712e-14
-11, -7, -1.503951e+00, -4.487679e-15
-11, -6, 3.774758e-15, 8.303803e-15
-11, -5, 2.592824e+00, -4.823173e-15
-11, -4, 9.992007e-15, -4.884750e-14
-11, -3, -3.715393e-01, -6.614316e-15
-11, -2, 3.108624e-15, 5.244136e-15
-11, -1, 1.309906e+00, -9.263554e-15
-11, 0, 1.687539e-14, -7.448803e-14
-11, 1, 1.309906e+00, -9.510034e-15
-11, 2, 5.995204e-15, -1.527550e-14
-11, 3, -3.715393e-01, -7.698537e-15
-11, 4, 8.437695e-15, -2.376415e-14
-11, 5, 2.592824e+00, -1.203600e-14
-11, 6, 7.105427e-15, -1.112222e-14
-11, 7, -1.503951e+00, -5.601965e-15
-11, 8, 5.773160e-15, -7.903689e-15
-11, 9, 2.990894e+00, -1.050190e-14
-11, 10, -2.664535e-15, -8.608826e-15
-11, 11, -1.843735e+00, 1.665335e-16
-11, 12, 8.215650e-15, -1.063996e-14
-11, 13, 2.766513e+00, -1.191866e-14
-11, 14, 2.997602e-15, -2.091360e-14
-10, -14, -9.648999e-01, -7.872690e-15
-10, -13, -2.831069e-15, 4.607913e-15
-10, -12, 3.756061e+00, 1.919798e-14
-10, -11, 2.609024e-15, 1.355200e-15
-10, -10, -2.573208e+00, -2.152440e-14
-10, -9, -6.661338e-15, -9.769856e-15
-10, -8, 6.402936e+00, -7.346099e-15
-10, -7, 8.881784e-16, 1.041383e-14
-10, -6, -4.657384e+00, -2.161052e-14
-10, -5, -1.598721e-14, -1.650203e-14
-10, -4, 9.397730e+00, 2.089671e-15
-10, -3, -1.554312e-15, 2.719723e-14
-10, -2, -6.420210e+00, -3.223352e-15
-10, -1, -2.442491e-15, -1.097935e-14
-10, 0, 1.089388e+01, -8.112428e-15
-10, 1, 8.881784e-15, 8.031388e-15
-10, 2, -6.420210e+00, -8.999903e-15
-10, 3, -4.440892e-16, 9.667357e-15
-10, 4, 9.397730e+00, -2.793936e-15
-10, 5, -1.476597e-14, 3.500922e-17
-10, 6, -4.657384e+00, 4.519987e-15
-10, 7, -2.997602e-15, 2.001862e-15
-10, 8, 6.402936e+00, -9.230413e-15
-10, 9, -1.032507e-14, -4.827692e-15
-10, 10, -2.573208e+00, -2.775558e-17
-10, 11, -2.664535e-15, 8.608826e-15
-10, 12, 3.756061e+00, -1.404720e-14
-10, 13, -5.717649e-15, -1.631110e-14
-10, 14, -9.648999e-01, -5.211602e-15
-9, -14, 1.221245e-15, 1.462424e-14
-9, -13, 7.776242e+00, 2.745648e-14
-9, -12, -2.775558e-15, 1.122181e-15
-9, -11, 2.990894e+00, -1.067198e-15
-9, -10, -5.995204e-15, -9.880878e-15
-9, -9, 9.935517e+00, 2.389514e-15
-9, -8, -5.107026e-15, -1.229395e-14
-9, -7, 5.326674e+00, -3.816343e-15
-9, -6, 9.547918e-15, -1.262118e-14
-9, -5, 1.188332e+01, 9.676915e-15
-9, -4, -8.215650e-15, 1.164300e-14
-9, -3, 8.941050e+00, -1.232608e-15
-9, -2, -4.884981e-15, -1.563552e-14
-9, -1, 1.191658e+01, 1.199331e-14
-9, 0, -5.329071e-15, -1.308707e-14
-9, 1, 1.191658e+01, 7.712817e-15
-9, 2, -5.329071e-15, 1.659536e-15
-9, 3, 8.941050e+00, 6.364223e-15
-9, 4, -1.332268e-14, -4.753228e-16
-9, 5, 1.188332e+01, 1.042996e-15
-9, 6, -6.439294e-15, 4.311651e-15
-9, 7, 5.326674e+00, 5.826942e-15
-9, 8, -1.021405e-14, 1.083519e-14
-9, 9, 9.935517e+00, 3.330669e-16
-9, 10, -1.021405e-14, 4.827692e-15
-9, 11, 2.990894e+00, 1.077946e-14
-9, 12, -4.329870e-15, 8.009416e-16
-9, 13, 7.776242e+00, -9.747910e-15
-9, 14, -1.032507e-14, -7.366233e-15
-8, -14, 5.499605e+00, 1.276768e-14
-8, -13, 2.831069e-15, -2.266441e-15
-8, -12, 2.747075e+01, 5.745828e-14
-8, -11, 1.765255e-14, -3.352507e-14
-8, -10, 6.402936e+00, -7.346099e-15
-8, -9, -5.440093e-15, -1.218292e-14
-8, -8, 4.190497e+01, 3.939275e-14
-8, -7, -6.328271e-15, -5.393236e-14
-8, -6, 7.765137e+00, -5.645302e-15
-8, -5, -1.232348e-14, -5.569708e-15
-8, -4, 6.027525e+01, 5.500316e-14
-8, -3, 2.109424e-14, -5.102764e-14
-8, -2, 9.184741e+00, 8.722848e-15
-8, -1, 1.132427e-14, -1.971681e-14
-8, 0, 7.068352e+01, 4.827427e-14
-8, 1, -7.771561e-15, -1.908529e-14
-8, 2, 9.184741e+00, 7.234280e-16
-8, 3, 1.287859e-14, -1.685589e-14
-8, 4, 6.027525e+01, 2.743822e-14
-8, 5, -1.298961e-14, -1.311624e-14
-8, 6, 7.765137e+00, 1.476094e-14
-8, 7, 2.775558e-15, -6.285054e-15
-8, 8, 4.190497e+01, -5.551115e-17
-8, 9, -1.199041e-14, -1.039110e-14
-8, 10, 6.402936e+00, 9.174902e-15
-8, 11, 6.217249e-15, 7.348577e-15
-8, 12, 2.747075e+01, -2.000221e-14
-8, 13, -1.287859e-14, -1.781082e-14
-8, 14, 5.499605e+00, -6.389920e-15
-7, -14, -8.659740e-15, 2.263471e-14
-7, -13, 4.251245e+00, 8.778049e-15
-7, -12, -1.110223e-15, -1.487055e-14
-7, -11, -1.503951e+00, -4.043589e-15
-7, -10, 6.661338e-16, 1.063588e-14
-7, -9, 5.326674e+00, -4.260432e-15
-7, -8, -6.439294e-15, -5.448747e-14
-7, -7, -8.657120e-01, 3.710723e-15
-7, -6, -1.842970e-14, 1.965112e-14
-7, -5, 5.954156e+00, 1.819336e-15
-7, -4, 1.909584e-14, -4.074025e-14
-7, -3, 1.380879e+00, 2.167175e-16
-7, -2, 9.769963e-15, 1.845435e-14
-7, -1, 4.686377e+00, 7.062575e-16
-7, 0, 0.000000e+00, -1.579576e-14
-7, 1, 4.686377e+00, -2.773220e-15
-7, 2, -7.105427e-15, 3.594242e-15
-7, 3, 1.380879e+00, -3.402189e-15
-7, 4, 1.776357e-15, -7.109207e-15
-7, 5, 5.954156e+00, -6.467981e-15
-7, 6, -3.330669e-15, 4.672852e-15
-7, 7, -8.657120e-01, -3.330669e-16
-7, 8, 3.552714e-15, 6.174032e-15
-7, 9, 5.326674e+00, -6.048987e-15
-7, 10, -2.664535e-15, -1.890840e-15
-7, 11, -1.503951e+00, 5.712987e-15
-7, 12, 5.329071e-15, 3.103093e-15
-7, 13, 4.251245e+00, -1.221104e-14
-7, 14, -7.549517e-15, -1.870710e-14
-6, -14, -1.992182e+00, 1.056374e-14
-6, -13, 7.216450e-16, 3.420563e-15
-6, -12, 3.766664e+00, 8.161248e-15
-6, -11, 3.330669e-15, 8.303803e-15
-6, -10, -4.657384e+00, -2.161052e-14
-6, -9, 9.769963e-15, -1.262118e-14
-6, -8, 7.765137e+00, -5.839591e-15
-6, -7, -1.809664e-14, 1.976214e-14
-6, -6, -9.139310e+00, -5.372156e-14
-6, -5, -1.443290e-14, -3.050481e-14
-6, -4, 1.411076e+01, -4.025706e-14
-6, -3, 3.153033e-14, 2.124265e-15
-6, -2, -1.472558e+01, -4.366723e-14
-6, -1, -1.176836e-14, -9.824983e-15
-6, 0, 1.857711e+01, -9.009559e-15
-6, 1, -5.995204e-15, -1.126729e-14
-6, 2, -1.472558e+01, -1.710129e-14
-6, 3, 1.332268e-15, -6.624522e-15
-6, 4, 1.411076e+01, -9.783360e-15
-6, 5, -1.043610e-14, -9.542842e-15
-6, 6, -9.139310e+00, 0.000000e+00
-6, 7, -3.552714e-15, -4.672852e-15
-6, 8, 7.765137e+00, -1.476094e-14
-6, 9, -6.883383e-15, -4.089606e-15
-6, 10, -4.657384e+00, -4.631010e-15
-6, 11, 7.771561e-15, 1.123325e-14
-6, 12, 3.766664e+00, -1.372550e-14
-6, 13, -7.605028e-15, -2.260943e-14
-6, 14, -1.992182e+00, 3.555604e-16
-5, -14, -2.198242e-14, 2.835514e-15
-5, -13, 8.350748e+00, 2.187180e-14
-5, -12, -1.820766e-14, -3.138387e-15
-5, -11, 2.592824e+00, -4.656639e-15
-5, -10, -1.620926e-14, -1.650203e-14
-5, -9, 1.188332e+01, 8.566692e-15
-5, -8, -1.398881e-14, -6.790953e-15
-5, -7, 5.954156e+00, 2.041380e-15
-5, -6, -1.643130e-14, -3.050481e-14
-5, -5, 1.711687e+01, 1.566267e-14
-5, -4, -1.865175e-14, -3.585154e-14
-5, -3, 1.360235e+01, 7.718543e-15
-5, -2, -2.486900e-14, 9.350420e-15
-5, -1, 2.076003e+01, 1.229896e-14
-5, 0, -1.953993e-14, -1.322762e-14
-5, 1, 2.076003e+01, 6.200905e-15
-5, 2, -7.993606e-15, 5.736938e-15
-5, 3, 1.360235e+01, 7.897084e-15
