# h,k,F.real,F.imag
-14, -14, 7.688523e+00, 6.282475e-14
-14, -13, -1.012914e+01, -1.491862e-14
-14, -12, -9.146839e+00, -3.175238e-14
-14, -11, -1.949501e+01, -7.521761e-14
-14, -10, -9.800066e+00, -2.753353e-14
-14, -9, 2.607714e+00, 3.072542e-14
-14, -8, 9.530064e+00, 4.471423e-14
-14, -7, 4.433657e+00, -3.244627e-14
-14, -6, -1.809838e+01, -7.083223e-14
-14, -5, 2.950768e+01, 1.005862e-13
-14, -4, -9.035821e+00, -2.770006e-14
-14, -3, 4.151466e+00, -1.804112e-14
-14, -2, 1.018298e+01, 5.133047e-14
-14, -1, -1.267243e+01, -3.066991e-14
-14, 0, 1.315614e-14, -5.040413e-14
-14, 1, 1.267243e+01, 2.065015e-14
-14, 2, 1.018298e+01, 2.392531e-14
-14, 3, -4.151466e+00, -2.420286e-14
-14, 4, -9.035821e+00, 1.705927e-14
-14, 5, -2.950768e+01, 4.968248e-15
-14, 6, -1.809838e+01, -2.187139e-14
-14, 7, -4.433657e+00, 4.329870e-14
-14, 8, 9.530064e+00, 1.554312e-14
-14, 9, -2.607714e+00, -2.026157e-15
-14, 10, -9.800066e+00, -5.967449e-16
-14, 11, 1.949501e+01, 1.271205e-14
-14, 12, -9.146839e+00, -8.437695e-15
-14, 13, 1.012914e+01, -9.492407e-15
-14, 14, 7.688523e+00, -1.110223e-14
-13, -14, 1.906808e-14, 1.012914e+01
-13, -13, -1.870726e-14, 8.994693e+00
-13, -12, -2.953193e-14, 5.609436e+00
-13, -11, 7.049916e-15, -2.177940e+00
-13, -10, -7.623069e-14, 1.027287e+01
-13, -9, 2.803313e-14, -5.942055e+00
-13, -8, 7.771561e-16, -6.801609e+00
-13, -7, 5.373479e-14, -1.096159e+01
-13, -6, 6.838974e-14, -2.670962e+01
-13, -5, 1.626477e-14, -1.182366e+01
-13, -4, 1.573741e-14, -8.485401e+00
-13, -3, 3.250178e-14, 9.531574e-01
-13, -2, 2.320366e-14, -7.202871e+00
-13, -1, -5.184742e-14, 1.711911e+01
-13, 0, 3.153033e-14, 2.275957e-14
-13, 1, -3.369527e-14, 1.711911e+01
-13, 2, 1.640875e-14, 7.202871e+00
-13, 3, -1.887379e-15, 9.531574e-01
-13, 4, -5.551115e-15, 8.485401e+00
-13, 5, 1.537659e-14, -1.182366e+01
-13, 6, -4.746203e-14, 2.670962e+01
-13, 7, 3.014256e-14, -1.096159e+01
-13, 8, -4.510281e-15, 6.801609e+00
-13, 9, -3.913536e-15, -5.942055e+00
-13, 10, -1.720846e-15, -1.027287e+01
-13, 11, 1.254552e-14, -2.177940e+00
-13, 12, 5.440093e-15, -5.609436e+00
-13, 13, 1.505740e-14, 8.994693e+00
-13, 14, 5.891121e-15, -1.012914e+01
-12, -14, 9.146839e+00, -1.387779e-15
-12, -13, 5.609436e+00, 6.189493e-14
-12, -12, 9.319404e+00, -1.017242e-14
-12, -11, 5.185207e+00, 5.107026e-14
-12, -10, 1.156623e+01, -1.743050e-14
-12, -9, -1.235410e+01, -1.443290e-15
-12, -8, 6.916749e+00, -7.549517e-15
-12, -7, 5.808443e+00, 5.911938e-14
-12, -6, -3.978592e+00, -1.224021e-14
-12, -5, 1.617446e+01, 4.957146e-14
-12, -4, -2.179520e+01, -8.559820e-14
-12, -3, -6.000353e+00, -3.852474e-14
-12, -2, -6.120301e+00, -1.465494e-14
-12, -1, -2.228307e-01, 4.385381e-15
-12, 0, -1.664984e+01, -3.291985e-14
-12, 1, 2.228307e-01, 4.940492e-15
-12, 2, -6.120301e+00, -1.887379e-15
-12, 3, 6.000353e+00, 4.329870e-15
-12, 4, -2.179520e+01, -2.892131e-14
-12, 5, -1.617446e+01, -1.160183e-14
-12, 6, -3.978592e+00, 2.660372e-14
-12, 7, -5.808443e+00, 7.771561e-15
-12, 8, 6.916749e+00, -2.009504e-14
-12, 9, 1.235410e+01, 2.897682e-14
-12, 10, 1.156623e+01, -1.054712e-15
-12, 11, -5.185207e+00, -1.079692e-14
-12, 12, 9.319404e+00, 5.800915e-15
-12, 13, -5.609436e+00, -1.665335e-15
-12, 14, 9.146839e+00, -9.214851e-15
-11, -14, 8.860968e-14, -1.949501e+01
-11, -13, 4.299339e-14, 2.177940e+00
-11, -12, 3.558265e-14, -5.185207e+00
-11, -11, 1.011968e-13, -3.002485e+01
-11, -10, -4.646283e-14, -4.588211e-01
-11, -9, -1.942890e-15, -8.741282e-01
-11, -8, 6.203371e-14, 1.231618e+00
-11, -7, 5.959122e-14, -5.725772e+00
-11, -6, -1.904032e-14, 1.621758e+01
-11, -5, 3.430589e-14, -1.546896e+01
-11, -4, -1.076916e-13, 6.161037e-01
-11, -3, -5.373479e-14, 1.529123e+01
-11, -2, -6.128778e-14, 1.259575e+01
-11, -1, -3.025358e-14, 1.576905e+01
-11, 0, 1.632028e-14, 2.109424e-15
-11, 1, -2.797762e-14, 1.576905e+01
-11, 2, 5.384582e-14, -1.259575e+01
-11, 3, -5.218048e-15, 1.529123e+01
-11, 4, -5.693362e-14, -6.161037e-01
-11, 5, 8.326673e-15, -1.546896e+01
-11, 6, -1.110223e-16, -1.621758e+01
-11, 7, 7.327472e-15, -5.725772e+00
-11, 8, 1.171285e-14, -1.231618e+00
-11, 9, 2.498002e-14, -8.741282e-01
-11, 10, 1.519618e-14, 4.588211e-01
-11, 11, 6.439294e-15, -3.002485e+01
-11, 12, 2.275957e-15, 5.185207e+00
-11, 13, 4.540812e-14, 2.177940e+00
-11, 14, -1.038059e-14, 1.949501e+01
-10, -14, -9.800066e+00, -5.465073e-14
-10, -13, -1.027287e+01, 5.123679e-14
-10, -12, -1.156623e+01, -1.842970e-14
-10, -11, -4.588211e-01, 2.042810e-14
-10, -10, -1.460230e+00, -5.806466e-14
-10, -9, -2.237645e+00, -2.922662e-14
-10, -8, -1.546387e+01, -8.493206e-15
-10, -7, 2.566111e+00, 5.417888e-14
-10, -6, 2.220704e+01, 6.628031e-14
-10, -5, 1.431386e+01, 8.343326e-14
-10, -4, 1.176934e+01, 1.935951e-15
-10, -3, 1.816293e+01, 1.709743e-14
-10, -2, -9.470378e-01, 1.476597e-14
-10, -1, -1.283789e+01, -8.326673e-15
-10, 0, 5.462297e-14, 3.064216e-14
-10, 1, 1.283789e+01, 3.474998e-14
-10, 2, -9.470378e-01, -5.186823e-15
-10, 3, -1.816293e+01, 2.475797e-14
-10, 4, 1.176934e+01, -4.773959e-15
-10, 5, -1.431386e+01, -5.473400e-14
-10, 6, 2.220704e+01, 7.049916e-14
-10, 7, -2.566111e+00, -3.097522e-14
-10, 8, -1.546387e+01, 2.846334e-14
-10, 9, 2.237645e+00, -4.313216e-14
-10, 10, -1.460230e+00, -6.272760e-15
-10, 11, 4.588211e-01, -2.753353e-14
-10, 12, -1.156623e+01, 1.920686e-14
-10, 13, 1.027287e+01, 1.340594e-14
-10, 14, -9.800066e+00, -2.206568e-14
-9, -14, -5.906386e-14, -2.607714e+00
