# h,k,F.real,F.imag
-14, -14, 1.105374e+00, 3.712308e-15
-14, -13, -1.197964e+00, -1.998401e-15
-14, -12, 4.742323e-02, -2.525757e-15
-14, -11, -7.487027e-01, -1.096345e-15
-14, -10, -1.235651e+00, 5.218048e-15
-14, -9, -1.330319e+00, 1.262879e-15
-14, -8, -4.549297e-01, 1.970646e-15
-14, -7, 2.068640e+00, 1.598721e-14
-14, -6, -1.744001e+00, -1.142142e-14
-14, -5, 3.112147e+00, 9.769963e-15
-14, -4, 3.797371e-01, -1.373901e-15
-14, -3, 3.196311e-01, -5.218048e-15
-14, -2, 1.920835e+00, -7.216450e-16
-14, -1, 4.214565e-01, -9.089951e-15
-14, 0, 1.537051e-14, 1.221245e-15
-14, 1, -4.214565e-01, -4.898859e-15
-14, 2, 1.920835e+00, 4.884981e-15
-14, 3, -3.196311e-01, -4.551914e-15
-14, 4, 3.797371e-01, -1.207368e-15
-14, 5, -3.112147e+00, -7.771561e-16
-14, 6, -1.744001e+00, -5.648260e-15
-14, 7, -2.068640e+00, 9.436896e-16
-14, 8, -4.549297e-01, -1.415534e-15
-14, 9, 1.330319e+00, 1.804112e-16
-14, 10, -1.235651e+00, 6.661338e-16
-14, 11, 7.487027e-01, -5.689893e-16
-14, 12, 4.742323e-02, 2.026157e-15
-14, 13, 1.197964e+00, -1.748601e-15
-14, 14, 1.105374e+00, 2.373102e-15
-13, -14, -2.928213e-15, 1.197964e+00
-13, -13, -2.775558e-17, -1.944381e-02
-13, -12, -7.011752e-15, 7.422710e-01
-13, -11, -1.276756e-15, -6.174240e-01
-13, -10, -3.774758e-15, 6.913459e-01
-13, -9, -8.826273e-15, 1.013367e+00
-13, -8, -7.327472e-15, -1.113514e+00
-13, -7, 1.239980e-14, -3.488605e-01
-13, -6, -1.443290e-15, -7.277367e-01
-13, -5, 9.880985e-15, -1.127362e+00
-13, -4, 5.662137e-15, -1.917447e+00
-13, -3, 5.717649e-15, -1.076823e+00
-13, -2, 1.072059e-14, -2.659027e+00
-13, -1, -4.218847e-15, 1.469652e+00
