# h,k,F.real,F.imag
-14, -14, 3.098169e+00, 9.214851e-15
-14, -13, -1.343862e+00, 2.159384e-14
-14, -12, -7.794016e+00, -3.021194e-14
-14, -11, 1.034791e+01, 4.873879e-14
-14, -10, -2.295269e+00, -4.785061e-14
-14, -9, 1.524052e+00, 6.470519e-14
-14, -8, 2.815601e+00, 4.707346e-14
-14, -7, -2.913399e+00, 9.381385e-15
-14, -6, -8.695858e+00, -4.348778e-14
-14, -5, -1.258899e+01, -3.957945e-14
-14, -4, -7.607361e+00, -4.002354e-14
-14, -3, 4.772367e+00, 2.865763e-14
-14, -2, 7.769811e-01, -6.217249e-15
-14, -1, 4.162027e+00, 4.829470e-15
-14, 0, -1.437739e-14, -5.107026e-15
-14, 1, -4.162027e+00, -3.386180e-14
-14, 2, 7.769811e-01, 2.881029e-14
-14, 3, -4.772367e+00, 5.689893e-15
-14, 4, -7.607361e+00, -2.592371e-14
-14, 5, 1.258899e+01, 5.859202e-14
-14, 6, -8.695858e+00, -2.278733e-14
-14, 7, 2.913399e+00, 2.592371e-14
-14, 8, 2.815601e+00, -1.154632e-14
-14, 9, -1.524052e+00, 6.050715e-15
-14, 10, -2.295269e+00, -3.619327e-14
-14, 11, -1.034791e+01, -1.949829e-15
-14, 12, -7.794016e+00, -6.883383e-15
-14, 13, 1.343862e+00, -2.259304e-14
-14, 14, 3.098169e+00, 1.260103e-14
-13, -14, 3.056583e-14, 1.343862e+00
-13, -13, -9.992007e-16, -1.639200e+00
-13, -12, -1.357248e-14, -2.460209e+00
-13, -11, 3.885781e-16, 1.229337e+00
-13, -10, -3.264056e-14, -1.352918e-01
-13, -9, -2.933764e-14, -5.203800e+00
-13, -8, -1.437739e-14, 3.430429e+00
-13, -7, 7.216450e-15, -4.876803e+00
-13, -6, -3.005929e-14, 7.763963e+00
-13, -5, 8.049117e-15, -2.766209e+00
-13, -4, -4.013456e-14, 5.903383e+00
-13, -3, 5.329071e-15, -2.594594e-01
-13, -2, 3.885781e-15, 4.689517e-01
-13, -1, 5.662137e-15, 7.930621e+00
-13, 0, 1.332268e-15, -3.641532e-14
-13, 1, 2.731149e-14, 7.930621e+00
-13, 2, 2.020606e-14, -4.689517e-01
-13, 3, -4.967381e-15, -2.594594e-01
-13, 4, 8.437695e-15, -5.903383e+00
-13, 5, 1.881828e-14, -2.766209e+00
-13, 6, 6.536438e-15, -7.763963e+00
-13, 7, 9.658940e-15, -4.876803e+00
-13, 8, 2.331468e-15, -3.430429e+00
-13, 9, -5.759282e-15, -5.203800e+00
-13, 10, -5.717649e-15, 1.352918e-01
-13, 11, -1.162959e-14, 1.229337e+00
-13, 12, -1.734723e-14, 2.460209e+00
-13, 13, -2.775558e-15, -1.639200e+00
-13, 14, -1.115774e-14, -1.343862e+00
-12, -14, 7.794016e+00, 1.583456e-14
-12, -13, -2.460209e+00, -2.017830e-14
-12, -12, 3.340956e+00, -5.939693e-15
-12, -11, 8.831666e-01, -1.516842e-14
-12, -10, 5.181602e+00, -1.632028e-14
-12, -9, 6.259970e+00, 1.920686e-14
-12, -8, -2.722846e+00, -6.310924e-15
-12, -7, -4.860082e+00, -2.797762e-14
-12, -6, -5.531289e+00, 2.065015e-14
-12, -5, -1.455401e+01, -3.252953e-14
-12, -4, -1.615692e+01, -3.941292e-14
-12, -3, 1.534082e+00, 1.498801e-14
-12, -2, 2.297418e+00, 1.096345e-14
-12, -1, -1.688845e+00, -7.216450e-15
-12, 0, -1.864280e+00, 2.220446e-16
-12, 1, 1.688845e+00, 1.781908e-14
-12, 2, 2.297418e+00, 3.108624e-14
-12, 3, -1.534082e+00, 2.481348e-14
-12, 4, -1.615692e+01, -9.214851e-15
-12, 5, 1.455401e+01, 2.453593e-14
-12, 6, -5.531289e+00, -2.475797e-14
-12, 7, 4.860082e+00, -2.275957e-15
-12, 8, -2.722846e+00, -1.332268e-15
-12, 9, -6.259970e+00, 1.859624e-15
-12, 10, 5.181602e+00, 1.054712e-14
-12, 11, -8.831666e-01, 1.015854e-14
-12, 12, 3.340956e+00, -2.597922e-14
-12, 13, 2.460209e+00, 9.103829e-15
-12, 14, 7.794016e+00, -2.142730e-14
-11, -14, -4.979350e-14, 1.034791e+01
-11, -13, 1.271205e-14, -1.229337e+00
-11, -12, 2.225997e-14, -8.831666e-01
-11, -11, 3.552714e-14, -1.085420e+01
-11, -10, -2.556289e-14, 3.356895e-01
-11, -9, -4.113376e-14, 6.568240e+00
-11, -8, 1.240674e-14, 1.894204e-01
-11, -7, -1.837419e-14, 2.993530e+00
-11, -6, 2.153833e-14, -1.152168e+01
