# h,k,F.real,F.imag
-14, -14, 2.482918e+00, 2.178813e-14
-14, -13, 3.006134e+00, -1.458902e-14
-14, -12, -8.444744e+00, -1.804112e-15
-14, -11, -1.149591e+01, -2.697842e-14
-14, -10, -1.516871e+00, -2.969847e-14
-14, -9, -3.072425e+00, 1.409983e-14
-14, -8, 3.443482e+00, 7.882583e-15
-14, -7, 2.335115e+00, 3.995589e-14
-14, -6, -8.300787e+00, -1.848521e-14
-14, -5, 1.216867e+01, 5.262457e-14
-14, -4, -8.131247e+00, -8.604228e-15
-14, -3, -2.425309e+00, -8.437695e-15
-14, -2, 5.655801e-01, 4.413137e-14
-14, -1, -1.770657e+00, 2.499737e-14
-14, 0, 1.110223e-16, -2.794986e-14
-14, 1, 1.770657e+00, -8.215650e-15
-14, 2, 5.655801e-01, 1.865175e-14
-14, 3, 2.425309e+00, -1.165734e-14
-14, 4, -8.131247e+00, 1.346145e-14
-14, 5, -1.216867e+01, -6.973588e-15
-14, 6, -8.300787e+00, -6.133982e-15
-14, 7, -2.335115e+00, 2.442491e-15
-14, 8, 3.443482e+00, 1.271205e-14
-14, 9, 3.072425e+00, -1.626477e-14
-14, 10, -1.516871e+00, -1.326717e-14
-14, 11, 1.149591e+01, 1.097733e-14
-14, 12, -8.444744e+00, 1.362799e-14
-14, 13, -3.006134e+00, 1.271205e-14
-14, 14, 2.482918e+00, -1.532108e-14
-13, -14, 2.126077e-14, -3.006134e+00
-13, -13, 7.494005e-16, -1.049281e+00
-13, -12, -1.382228e-14, 2.384586e+00
-13, -11, -4.629630e-14, 2.582357e-01
-13, -10, 2.087219e-14, 1.941177e+00
-13, -9, 3.236300e-14, -7.177147e+00
-13, -8, 3.658185e-14, -1.703487e+00
-13, -7, -2.803313e-14, -3.106510e+00
-13, -6, 2.384204e-14, -8.685812e+00
-13, -5, 1.559863e-14, -8.114524e-01
-13, -4, 3.030909e-14, -7.413834e+00
-13, -3, -8.881784e-16, -1.729258e+00
-13, -2, -1.215694e-14, 1.849401e-02
-13, -1, -1.493250e-14, 8.057608e+00
-13, 0, 9.589551e-15, -2.042810e-14
-13, 1, -2.661760e-14, 8.057608e+00
-13, 2, -3.197442e-14, -1.849401e-02
-13, 3, 2.198242e-14, -1.729258e+00
-13, 4, -2.220446e-16, 7.413834e+00
-13, 5, -8.326673e-16, -8.114524e-01
-13, 6, -2.315509e-14, 8.685812e+00
-13, 7, -2.498002e-16, -3.106510e+00
-13, 8, 9.436896e-15, 1.703487e+00
-13, 9, 6.716849e-15, -7.177147e+00
-13, 10, 3.497203e-15, -1.941177e+00
-13, 11, 3.247402e-15, 2.582357e-01
-13, 12, 1.298267e-14, -2.384586e+00
-13, 13, -2.348122e-14, -1.049281e+00
-13, 14, -7.355228e-15, 3.006134e+00
-12, -14, 8.444744e+00, 3.941292e-15
-12, -13, 2.384586e+00, 2.980949e-14
-12, -12, -1.237306e+00, 9.769963e-15
-12, -11, -5.373605e-01, -5.828671e-15
-12, -10, 5.024773e+00, 6.217249e-15
-12, -9, -5.998918e+00, -2.534084e-14
-12, -8, 1.744827e-01, -2.986500e-14
-12, -7, 5.084735e+00, 2.664535e-14
-12, -6, -5.844606e+00, 1.154632e-14
-12, -5, 1.336920e+01, 1.892930e-14
-12, -4, -1.534610e+01, -7.757683e-15
-12, -3, -1.638334e+00, 5.551115e-17
-12, -2, 2.674395e+00, -8.104628e-15
-12, -1, 1.785896e+00, 1.676437e-14
-12, 0, -4.801743e+00, -3.219647e-15
-12, 1, -1.785896e+00, 2.783884e-14
-12, 2, 2.674395e+00, 5.689893e-15
-12, 3, 1.638334e+00, -2.581269e-14
-12, 4, -1.534610e+01, -2.253753e-14
-12, 5, -1.336920e+01, 1.076916e-14
-12, 6, -5.844606e+00, 5.162537e-15
-12, 7, -5.084735e+00, 2.572942e-14
-12, 8, 1.744827e-01, -1.447453e-14
-12, 9, 5.998918e+00, -4.052314e-15
-12, 10, 5.024773e+00, -7.771561e-16
-12, 11, 5.373605e-01, 5.828671e-15
-12, 12, -1.237306e+00, -1.806888e-14
-12, 13, -2.384586e+00, -4.593548e-15
-12, 14, 8.444744e+00, -9.395262e-15
-11, -14, 2.087219e-14, -1.149591e+01
-11, -13, -1.504352e-14, -2.582357e-01
-11, -12, -7.216450e-15, 5.373605e-01
-11, -11, 2.536860e-14, -9.116691e+00
-11, -10, 4.282685e-14, 2.530527e-01
-11, -9, -2.439715e-14, 7.752527e+00
-11, -8, 2.281508e-14, 1.096985e+00
-11, -7, -3.719247e-15, 6.729682e-01
-11, -6, -3.730349e-14, 1.031865e+01
-11, -5, 9.081624e-14, -9.856009e+00
-11, -4, 5.218048e-15, -8.319218e+00
-11, -3, 1.363493e-15, 8.563297e-01
-11, -2, -4.712897e-14, 1.365145e+01
-11, -1, -3.952394e-14, -7.127176e+00
-11, 0, -7.216450e-15, -1.245358e-14
-11, 1, 1.665335e-15, -7.127176e+00
-11, 2, 4.823919e-14, -1.365145e+01
-11, 3, -2.342831e-14, 8.563297e-01
-11, 4, 1.043610e-14, 8.319218e+00
-11, 5, -1.676437e-14, -9.856009e+00
-11, 6, 9.658940e-15, -1.031865e+01
-11, 7, -7.660539e-15, 6.729682e-01
-11, 8, 1.187939e-14, -1.096985e+00
-11, 9, 6.345618e-15, 7.752527e+00
-11, 10, -2.778333e-14, -2.530527e-01
-11, 11, -3.397282e-14, -9.116691e+00
-11, 12, -1.443290e-14, -5.373605e-01
-11, 13, -4.107825e-15, -2.582357e-01
-11, 14, 1.987299e-14, 1.149591e+01
-10, -14, -1.516871e+00, 3.448630e-14
-10, -13, -1.941177e+00, 2.020606e-14
-10, -12, -5.024773e+00, 1.926237e-14
-10, -11, 2.530527e-01, 7.049916e-15
-10, -10, -1.246519e-01, -2.242651e-14
-10, -9, 2.027386e+00, 7.582823e-14
-10, -8, -7.763455e+00, 1.013079e-14
-10, -7, 5.219331e+00, 1.687539e-14
-10, -6, 7.112788e+00, -1.459943e-14
-10, -5, 8.841997e-02, 7.549517e-15
-10, -4, 5.287255e-01, -8.348877e-14
-10, -3, 8.226788e+00, 6.539214e-14
-10, -2, -1.218793e+00, 1.268430e-14
-10, -1, -1.105317e+01, 2.026157e-14
-10, 0, -2.065015e-14, 2.042810e-14
-10, 1, 1.105317e+01, -2.331468e-14
-10, 2, -1.218793e+00, 9.992007e-15
-10, 3, -8.226788e+00, 2.831069e-15
-10, 4, 5.287255e-01, 1.140754e-14
-10, 5, -8.841997e-02, -4.385381e-15
-10, 6, 7.112788e+00, -4.141132e-14
-10, 7, -5.219331e+00, -1.321165e-14
-10, 8, -7.763455e+00, -1.065814e-14
-10, 9, -2.027386e+00, 9.658940e-15
-10, 10, -1.246519e-01, -4.593548e-15
-10, 11, -2.530527e-01, -8.104628e-15
-10, 12, -5.024773e+00, -1.354472e-14
-10, 13, 1.941177e+00, 5.551115e-16
-10, 14, -1.516871e+00, 2.009504e-14
-9, -14, 1.121325e-14, 3.072425e+00
-9, -13, 3.036460e-14, -7.177147e+00
-9, -12, 2.750231e-14, -5.998918e+00
