# h,k,F.real,F.imag
-14, -14, 3.647536e+00, 2.368677e-14
-14, -13, -1.427634e+00, -5.870304e-15
-14, -12, 5.103586e-02, -1.293410e-14
-14, -11, -1.380259e-03, 5.696832e-15
-14, -10, -2.893752e+00, 1.628002e-15
-14, -9, -2.047221e+00, -1.273287e-14
-14, -8, -1.934521e+00, -1.143530e-14
-14, -7, 3.105656e+00, 1.459943e-14
-14, -6, -5.911329e+00, -9.269048e-15
-14, -5, 4.342124e+00, 2.180200e-14
-14, -4, 1.898035e+00, 8.049117e-16
-14, -3, -8.253623e-01, -1.638967e-14
-14, -2, 5.981071e+00, 1.034230e-14
-14, -1, 8.044237e-01, 7.632783e-15
-14, 0, 7.168543e-15, 1.998401e-15
-14, 1, -8.044237e-01, -1.464107e-14
-14, 2, 5.981071e+00, 1.536650e-14
-14, 3, 8.253623e-01, -3.538836e-15
-14, 4, 1.898035e+00, 6.300516e-15
-14, 5, -4.342124e+00, -2.053913e-15
-14, 6, -5.911329e+00, -6.848751e-15
-14, 7, -3.105656e+00, 3.316791e-15
-14, 8, -1.934521e+00, -4.329870e-15
-14, 9, 2.047221e+00, -7.834011e-15
-14, 10, -2.893752e+00, 2.202268e-15
-14, 11, 1.380259e-03, 9.159340e-16
-14, 12, 5.103586e-02, -3.164136e-15
-14, 13, 1.427634e+00, -4.996004e-16
-14, 14, 3.647536e+00, 3.127267e-16
-13, -14, 6.994405e-15, 1.427634e+00
-13, -13, -4.012785e-15, 2.200278e+00
-13, -12, -1.416922e-14, 1.207640e+00
-13, -11, 1.224021e-14, -1.236298e+00
-13, -10, -3.899658e-15, 2.690082e+00
-13, -9, -3.267081e-15, 3.171235e+00
-13, -8, 1.294798e-14, -1.694861e+00
-13, -7, 1.501577e-14, -1.692088e+00
-13, -6, 1.131040e-14, -7.970800e-01
-13, -5, 3.717970e-15, -3.202074e+00
-13, -4, 1.405820e-14, -3.825719e+00
-13, -3, 5.759282e-15, 3.826554e-01
-13, -2, 1.618150e-14, -6.103015e+00
-13, -1, -3.100857e-15, 1.163615e-01
-13, 0, 1.021405e-14, -5.551115e-16
-13, 1, 1.057487e-14, 1.163615e-01
-13, 2, -1.168510e-14, 6.103015e+00
-13, 3, -2.280257e-15, 3.826554e-01
-13, 4, -3.844147e-15, 3.825719e+00
-13, 5, 4.246603e-15, -3.202074e+00
-13, 6, -1.182388e-14, 7.970800e-01
-13, 7, -2.858273e-15, -1.692088e+00
-13, 8, -1.637579e-15, 1.694861e+00
-13, 9, 2.373102e-15, 3.171235e+00
-13, 10, 5.093148e-15, -2.690082e+00
-13, 11, -3.938880e-15, -1.236298e+00
-13, 12, 2.317591e-15, -1.207640e+00
-13, 13, -8.743006e-16, 2.200278e+00
-13, 14, 3.580469e-15, -1.427634e+00
-12, -14, -5.103586e-02, -7.605028e-15
-12, -13, 1.207640e+00, 1.283695e-15
-12, -12, 6.493132e+00, 1.666921e-14
-12, -11, -3.221962e+00, -6.133982e-15
-12, -10, -1.065774e-01, 2.033096e-14
-12, -9, -5.091339e+00, -5.523360e-15
-12, -8, -2.973032e+00, 6.339643e-15
-12, -7, 3.548348e+00, -7.466250e-15
-12, -6, -2.317639e-02, -7.438494e-15
-12, -5, 7.009038e-01, 6.938894e-15
-12, -4, 2.465047e-01, 5.874769e-15
-12, -3, 1.483316e+00, 3.039236e-15
-12, -2, 1.352115e-01, -1.182388e-14
-12, -1, 4.649052e+00, -1.193490e-15
-12, 0, -4.424873e+00, -1.069770e-14
